"Index" "EU_CPI" "EU_CPI_CORE" "EU_CPI2" "EU_CPI2_CORE" "EU_CPI_FOOD_BEVERAGES" "EU_CPI_HOUSING" "EU_CPI_TRANSPORT" "EU_CPI_MED_CARE" "EU_CPI_GOODS_SERVICES"
"1990-01-31" "1990-01-31" 59.07 61.78 NA NA NA NA NA NA NA
"1990-02-28" "1990-02-28" 59.16 61.94 NA NA NA NA NA NA NA
"1990-03-31" "1990-03-31" 59.29 62.13 NA NA NA NA NA NA NA
"1990-04-30" "1990-04-30" 59.48 62.29 NA NA NA NA NA NA NA
"1990-05-31" "1990-05-31" 59.63 62.49 NA NA NA NA NA NA NA
"1990-06-30" "1990-06-30" 59.76 62.66 NA NA NA NA NA NA NA
"1990-07-31" "1990-07-31" 59.76 62.84 NA NA NA NA NA NA NA
"1990-08-31" "1990-08-31" 60.16 63.04 NA NA NA NA NA NA NA
"1990-09-30" "1990-09-30" 60.63 63.24 NA NA NA NA NA NA NA
"1990-10-31" "1990-10-31" 60.97 63.46 NA NA NA NA NA NA NA
"1990-11-30" "1990-11-30" 60.99 63.67 NA NA NA NA NA NA NA
"1990-12-31" "1990-12-31" 61.07 63.87 NA NA NA NA NA NA NA
"1991-01-31" "1991-01-31" 61.38 64.09 NA NA NA NA NA NA NA
"1991-02-28" "1991-02-28" 61.63 64.35 NA NA NA NA NA NA NA
"1991-03-31" "1991-03-31" 61.53 64.54 NA NA NA NA NA NA NA
"1991-04-30" "1991-04-30" 61.84 64.8 NA NA NA NA NA NA NA
"1991-05-31" "1991-05-31" 62.1 65.03 NA NA NA NA NA NA NA
"1991-06-30" "1991-06-30" 62.31 65.28 NA NA NA NA NA NA NA
"1991-07-31" "1991-07-31" 62.72 65.52 NA NA NA NA NA NA NA
"1991-08-31" "1991-08-31" 62.88 65.75 NA NA NA NA NA NA NA
"1991-09-30" "1991-09-30" 63.01 65.97 NA NA NA NA NA NA NA
"1991-10-31" "1991-10-31" 63.27 66.2 NA NA NA NA NA NA NA
"1991-11-30" "1991-11-30" 63.55 66.43 NA NA NA NA NA NA NA
"1991-12-31" "1991-12-31" 63.63 66.68 NA NA NA NA NA NA NA
"1992-01-31" "1992-01-31" 63.76 66.88 NA NA NA NA NA NA NA
"1992-02-29" "1992-02-29" 63.99 67.1 NA NA NA NA NA NA NA
"1992-03-31" "1992-03-31" 64.21 67.37 NA NA NA NA NA NA NA
"1992-04-30" "1992-04-30" 64.4 67.6 NA NA NA NA NA NA NA
"1992-05-31" "1992-05-31" 64.56 67.8 NA NA NA NA NA NA NA
"1992-06-30" "1992-06-30" 64.76 68.05 NA NA NA NA NA NA NA
"1992-07-31" "1992-07-31" 64.84 68.27 NA NA NA NA NA NA NA
"1992-08-31" "1992-08-31" 65 68.5 NA NA NA NA NA NA NA
"1992-09-30" "1992-09-30" 65.13 68.77 NA NA NA NA NA NA NA
"1992-10-31" "1992-10-31" 65.23 68.96 NA NA NA NA NA NA NA
"1992-11-30" "1992-11-30" 65.52 69.22 NA NA NA NA NA NA NA
"1992-12-31" "1992-12-31" 65.67 69.44 NA NA NA NA NA NA NA
"1993-01-31" "1993-01-31" 65.91 69.7 NA NA NA NA NA NA NA
"1993-02-28" "1993-02-28" 66.11 69.94 NA NA NA NA NA NA NA
"1993-03-31" "1993-03-31" 66.32 70.16 NA NA NA NA NA NA NA
"1993-04-30" "1993-04-30" 66.42 70.37 NA NA NA NA NA NA NA
"1993-05-31" "1993-05-31" 66.59 70.6 NA NA NA NA NA NA NA
"1993-06-30" "1993-06-30" 66.79 70.78 NA NA NA NA NA NA NA
"1993-07-31" "1993-07-31" 66.98 71.01 NA NA NA NA NA NA NA
"1993-08-31" "1993-08-31" 67.12 71.18 NA NA NA NA NA NA NA
"1993-09-30" "1993-09-30" 67.26 71.36 NA NA NA NA NA NA NA
"1993-10-31" "1993-10-31" 67.45 71.56 NA NA NA NA NA NA NA
"1993-11-30" "1993-11-30" 67.58 71.7 NA NA NA NA NA NA NA
"1993-12-31" "1993-12-31" 67.7 71.85 NA NA NA NA NA NA NA
"1994-01-31" "1994-01-31" 67.88 72.01 NA NA NA NA NA NA NA
"1994-02-28" "1994-02-28" 68.05 72.16 NA NA NA NA NA NA NA
"1994-03-31" "1994-03-31" 68.14 72.3 NA NA NA NA NA NA NA
"1994-04-30" "1994-04-30" 68.33 72.43 NA NA NA NA NA NA NA
"1994-05-31" "1994-05-31" 68.45 72.59 NA NA NA NA NA NA NA
"1994-06-30" "1994-06-30" 68.56 72.73 NA NA NA NA NA NA NA
"1994-07-31" "1994-07-31" 68.76 72.9 NA NA NA NA NA NA NA
"1994-08-31" "1994-08-31" 68.91 73.03 NA NA NA NA NA NA NA
"1994-09-30" "1994-09-30" 69.03 73.14 NA NA NA NA NA NA NA
"1994-10-31" "1994-10-31" 69.15 73.32 NA NA NA NA NA NA NA
"1994-11-30" "1994-11-30" 69.29 73.48 NA NA NA NA NA NA NA
"1994-12-31" "1994-12-31" 69.47 73.65 NA NA NA NA NA NA NA
"1995-01-31" "1995-01-31" 69.52 73.78 NA NA NA NA NA NA NA
"1995-02-28" "1995-02-28" 69.75 73.96 NA NA NA NA NA NA NA
"1995-03-31" "1995-03-31" 69.9 74.11 NA NA NA NA NA NA NA
"1995-04-30" "1995-04-30" 70.05 74.31 NA NA NA NA NA NA NA
"1995-05-31" "1995-05-31" 70.14 74.43 NA NA NA NA NA NA NA
"1995-06-30" "1995-06-30" 70.35 74.65 NA NA NA NA NA NA NA
"1995-07-31" "1995-07-31" 70.39 74.75 NA NA NA NA NA NA NA
"1995-08-31" "1995-08-31" 70.51 74.97 NA NA NA NA NA NA NA
"1995-09-30" "1995-09-30" 70.72 75.15 NA NA NA NA NA NA NA
"1995-10-31" "1995-10-31" 70.85 75.29 NA NA NA NA NA NA NA
"1995-11-30" "1995-11-30" 70.91 75.42 NA NA NA NA NA NA NA
"1995-12-31" "1995-12-31" 71.07 75.57 NA NA NA NA NA NA NA
"1996-01-31" "1996-01-31" 71.21 75.72 70.69 75.37 69.94 60.37 65.97 65.7 67.97
"1996-02-29" "1996-02-29" 71.34 75.83 70.84 75.47 70.3 60.5 66.18 65.77 68.18
"1996-03-31" "1996-03-31" 71.56 75.99 71.08 75.63 70.68 60.7 66.46 65.95 68.28
"1996-04-30" "1996-04-30" 71.67 76.06 71.19 75.68 70.84 60.81 66.65 66.11 68.37
"1996-05-31" "1996-05-31" 71.81 76.22 71.29 75.8 70.94 60.86 66.83 66.39 68.42
"1996-06-30" "1996-06-30" 71.87 76.31 71.35 75.94 70.89 60.98 66.81 66.52 68.49
"1996-07-31" "1996-07-31" 71.91 76.41 71.39 76.01 71.05 61.05 66.75 66.79 68.55
"1996-08-31" "1996-08-31" 71.9 76.48 71.35 76.07 70.84 61.1 66.58 66.95 68.62
"1996-09-30" "1996-09-30" 72.08 76.58 71.56 76.18 70.8 61.45 66.89 67.15 68.72
"1996-10-31" "1996-10-31" 72.18 76.69 71.68 76.31 70.84 61.77 67.19 67.32 68.78
"1996-11-30" "1996-11-30" 72.27 76.75 71.74 76.31 70.82 61.85 67.3 67.47 68.87
