"Index" "EU_CPI" "EU_CPI_CORE" "EU_CPI2" "EU_CPI2_CORE" "EU_CPI_FOOD_BEVERAGES" "EU_CPI_HOUSING" "EU_CPI_TRANSPORT" "EU_CPI_MED_CARE" "EU_CPI_GOODS_SERVICES"
"1996-12-31" "1996-12-31" 72.42 76.85 71.9 76.43 70.85 62.04 67.48 67.5 69.03
"1997-01-31" "1997-01-31" 72.69 76.95 72.23 76.67 71.28 62.57 67.63 68.51 69.16
"1997-02-28" "1997-02-28" 72.67 77.04 72.25 76.75 71.08 62.54 67.7 68.71 69.3
"1997-03-31" "1997-03-31" 72.63 77.1 72.22 76.8 70.71 62.54 67.8 68.95 69.38
"1997-04-30" "1997-04-30" 72.67 77.21 72.28 76.93 70.89 62.52 67.64 69.11 69.44
"1997-05-31" "1997-05-31" 72.78 77.28 72.35 76.99 71.15 62.65 67.63 69.22 69.55
"1997-06-30" "1997-06-30" 72.85 77.35 72.42 77.04 71.32 62.75 67.62 69.48 69.62
"1997-07-31" "1997-07-31" 72.98 77.45 72.54 77.15 71.54 62.89 67.61 69.46 69.68
"1997-08-31" "1997-08-31" 73.12 77.54 72.66 77.25 71.68 62.99 67.98 69.64 69.78
"1997-09-30" "1997-09-30" 73.2 77.63 72.77 77.34 71.89 62.95 68.01 70.32 69.84
"1997-10-31" "1997-10-31" 73.28 77.7 72.87 77.4 72.01 63.21 68.03 70.21 69.93
"1997-11-30" "1997-11-30" 73.42 77.82 73 77.51 72.27 63.37 68.11 70.46 69.96
"1997-12-31" "1997-12-31" 73.47 77.91 73.05 77.59 72.25 63.42 68.17 70.44 70.09
"1998-01-31" "1998-01-31" 73.49 77.99 73.11 77.72 72.29 63.42 68.09 71.07 69.83
"1998-02-28" "1998-02-28" 73.53 78.09 73.17 77.85 72.21 63.4 68.21 71.08 69.97
"1998-03-31" "1998-03-31" 73.55 78.19 73.22 77.96 72.15 63.46 68.16 71.25 70.04
"1998-04-30" "1998-04-30" 73.61 78.27 73.3 78.02 72.35 63.6 68.06 71.51 70.14
"1998-05-31" "1998-05-31" 73.72 78.37 73.39 78.16 72.56 63.61 68.1 71.62 70.22
"1998-06-30" "1998-06-30" 73.8 78.47 73.46 78.28 72.74 63.66 68.04 71.87 70.32
"1998-07-31" "1998-07-31" 73.89 78.54 73.53 78.36 72.79 63.63 68.1 72.16 70.41
"1998-08-31" "1998-08-31" 73.96 78.63 73.58 78.49 72.88 63.58 68.01 72.31 70.49
"1998-09-30" "1998-09-30" 73.91 78.72 73.58 78.57 72.83 63.56 67.9 72.4 70.56
"1998-10-31" "1998-10-31" 73.96 78.81 73.63 78.64 72.71 63.66 67.91 72.6 70.62
"1998-11-30" "1998-11-30" 74.01 78.86 73.66 78.69 72.73 63.67 68.04 72.68 70.73
"1998-12-31" "1998-12-31" 74 78.93 73.68 78.71 72.79 63.7 67.91 72.82 70.88
"1999-01-31" "1999-01-31" 74.07 78.99 73.76 78.78 72.88 63.68 68.03 72.98 70.79
"1999-02-28" "1999-02-28" 74.12 79.07 73.81 78.88 72.94 63.65 68.1 73.02 70.95
"1999-03-31" "1999-03-31" 74.2 79.14 73.91 78.93 72.96 63.88 68.22 73.12 71.07
"1999-04-30" "1999-04-30" 74.42 79.2 74.17 79 72.89 64.39 68.92 73.17 71.16
"1999-05-31" "1999-05-31" 74.38 79.28 74.1 79.05 72.78 64.38 68.85 73.43 71.29
"1999-06-30" "1999-06-30" 74.43 79.32 74.11 79.14 72.56 64.48 69.07 73.5 71.38
"1999-07-31" "1999-07-31" 74.64 79.41 74.33 79.27 72.37 64.75 69.47 73.73 71.51
"1999-08-31" "1999-08-31" 74.79 79.46 74.47 79.37 72.35 64.9 69.93 73.83 71.63
"1999-09-30" "1999-09-30" 74.81 79.5 74.53 79.36 72.49 64.99 70.04 73.99 71.74
"1999-10-31" "1999-10-31" 74.93 79.55 74.65 79.4 72.69 64.94 70.47 74.04 71.91
"1999-11-30" "1999-11-30" 75.08 79.65 74.8 79.51 72.82 65.15 70.71 74.23 72.1
"1999-12-31" "1999-12-31" 75.28 79.67 75.01 79.52 72.89 65.52 71.4 74.47 72.28
"2000-01-31" "2000-01-31" 75.48 79.76 75.22 79.65 72.88 65.8 71.69 74.29 72.4
"2000-02-29" "2000-02-29" 75.6 79.83 75.35 79.69 73.12 66.05 71.96 74.37 72.54
"2000-03-31" "2000-03-31" 75.7 79.86 75.47 79.72 72.96 66.38 72.76 74.48 72.65
"2000-04-30" "2000-04-30" 75.62 79.91 75.43 79.72 73.17 66.34 72.07 74.66 72.71
"2000-05-31" "2000-05-31" 75.65 79.95 75.43 79.71 73.19 66.7 72.29 74.78 72.82
"2000-06-30" "2000-06-30" 75.99 80.05 75.72 79.87 73.3 66.92 73.34 74.89 72.98
"2000-07-31" "2000-07-31" 76.21 80.14 75.94 80.01 73.55 67.18 73.41 75.02 73.12
"2000-08-31" "2000-08-31" 76.35 80.25 76.09 80.16 73.85 67.4 73.19 75.14 73.29
"2000-09-30" "2000-09-30" 76.62 80.31 76.36 80.19 74 68.25 73.86 75.25 73.46
"2000-10-31" "2000-10-31" 76.7 80.41 76.48 80.29 74.22 68.4 73.9 75.55 73.73
"2000-11-30" "2000-11-30" 76.94 80.5 76.72 80.38 74.51 68.75 74.43 75.55 73.85
"2000-12-31" "2000-12-31" 77.14 80.82 76.93 80.69 74.78 68.76 74.1 75.74 74.01
"2001-01-31" "2001-01-31" 77.02 80.75 76.82 80.69 75.08 68.72 73.33 75.34 74.33
"2001-02-28" "2001-02-28" 77.13 80.83 76.94 80.69 75.41 68.9 73.91 75.35 74.47
"2001-03-31" "2001-03-31" 77.36 81.02 77.17 80.92 76.01 68.94 73.93 75.37 74.69
"2001-04-30" "2001-04-30" 77.66 81.18 77.46 81.11 76.53 69.04 74.1 75.43 74.97
"2001-05-31" "2001-05-31" 77.95 81.32 77.74 81.25 77.36 69.24 74.84 75.61 75.13
"2001-06-30" "2001-06-30" 78.15 81.48 77.92 81.42 77.63 69.49 74.71 75.87 75.31
"2001-07-31" "2001-07-31" 78.14 81.62 77.94 81.54 77.94 69.5 74.09 75.93 75.53
"2001-08-31" "2001-08-31" 78.15 81.76 77.98 81.64 77.97 69.51 73.84 76.09 75.71
"2001-09-30" "2001-09-30" 78.29 81.95 78.11 81.81 78.1 69.63 73.98 76.32 75.94
"2001-10-31" "2001-10-31" 78.41 82.14 78.23 82.04 78.32 69.51 73.68 76.57 76.13
"2001-11-30" "2001-11-30" 78.47 82.29 78.3 82.2 78.2 69.55 73.56 76.55 76.3
"2001-12-31" "2001-12-31" 78.71 82.49 78.53 82.45 78.53 69.55 73.74 76.49 76.5
"2002-01-31" "2002-01-31" 79.05 82.67 78.87 82.66 79.51 69.65 73.97 76.77 76.7
"2002-02-28" "2002-02-28" 79.07 82.84 78.87 82.76 79.3 69.72 74.29 76.91 76.82
"2002-03-31" "2002-03-31" 79.22 82.98 79.02 82.88 79.22 69.85 74.69 77.17 76.96
"2002-04-30" "2002-04-30" 79.53 83.14 79.36 83.12 79.32 70 75.39 77.47 77.16
"2002-05-31" "2002-05-31" 79.53 83.31 79.33 83.28 79.26 70.05 75.21 77.49 77.35
"2002-06-30" "2002-06-30" 79.59 83.44 79.39 83.4 79.09 70.07 75.09 77.62 77.53
"2002-07-31" "2002-07-31" 79.73 83.6 79.55 83.55 79.25 70.19 75.22 77.87 77.77
"2002-08-31" "2002-08-31" 79.85 83.74 79.69 83.64 79.39 70.27 75.44 78.16 77.97
"2002-09-30" "2002-09-30" 79.97 83.86 79.8 83.76 79.59 70.43 75.58 78.3 78.14
"2002-10-31" "2002-10-31" 80.17 83.99 79.99 83.9 79.67 70.62 75.98 78.48 78.26
"2002-11-30" "2002-11-30" 80.26 84.13 80.1 84.07 79.67 70.61 75.98 78.71 78.43
"2002-12-31" "2002-12-31" 80.5 84.26 80.33 84.22 79.71 70.97 76.3 78.89 78.59
"2003-01-31" "2003-01-31" 80.75 84.33 80.57 84.27 79.95 71.42 77.13 78.88 78.86
"2003-02-28" "2003-02-28" 80.99 84.45 80.79 84.37 80.19 71.8 77.66 78.89 79.04
"2003-03-31" "2003-03-31" 81.18 84.6 81.02 84.54 80.42 72.09 77.89 79.06 79.2
"2003-04-30" "2003-04-30" 81.06 84.7 80.89 84.64 80.5 71.73 76.78 79.04 79.32
"2003-05-31" "2003-05-31" 80.96 84.82 80.81 84.78 80.58 71.71 76.08 79.38 79.49
"2003-06-30" "2003-06-30" 81.16 84.93 81.01 84.89 80.93 71.85 76.26 79.54 79.63
"2003-07-31" "2003-07-31" 81.29 85.05 81.16 84.98 81.13 71.99 76.48 79.59 79.74
"2003-08-31" "2003-08-31" 81.46 85.16 81.32 85.09 81.46 72.11 76.93 79.77 79.87
"2003-09-30" "2003-09-30" 81.68 85.31 81.53 85.25 82.04 72.17 76.99 79.91 80.07
"2003-10-31" "2003-10-31" 81.77 85.43 81.62 85.36 82 72.33 76.95 80.26 80.26
"2003-11-30" "2003-11-30" 81.98 85.55 81.83 85.47 81.99 72.48 77.39 80.33 80.37
"2003-12-31" "2003-12-31" 82.07 85.66 81.92 85.56 81.75 72.68 77.74 80.39 80.49
"2004-01-31" "2004-01-31" 82.25 85.84 82.09 85.79 81.9 72.79 77.9 84.53 80.68
"2004-02-29" "2004-02-29" 82.36 85.99 82.21 85.97 81.78 72.82 78.1 84.56 80.88
"2004-03-31" "2004-03-31" 82.57 86.09 82.43 86.04 81.82 73.02 78.4 84.65 81.01
"2004-04-30" "2004-04-30" 82.7 86.23 82.56 86.19 81.88 73.16 78.55 85.31 81.12
"2004-05-31" "2004-05-31" 82.93 86.33 82.81 86.31 82.02 73.48 79.27 85.51 81.24
"2004-06-30" "2004-06-30" 83.07 86.5 82.96 86.49 82.16 73.66 79.27 85.71 81.43
"2004-07-31" "2004-07-31" 83.16 86.61 83.06 86.6 82.21 73.83 79.28 86.17 81.57
"2004-08-31" "2004-08-31" 83.37 86.74 83.23 86.74 82.01 74.17 79.84 86.38 81.69
"2004-09-30" "2004-09-30" 83.41 86.84 83.29 86.84 81.93 74.35 80 86.69 81.76
"2004-10-31" "2004-10-31" 83.69 86.94 83.54 86.93 81.9 75.01 80.89 86.92 81.82
"2004-11-30" "2004-11-30" 83.79 87.06 83.66 87.05 81.89 75.14 81.02 86.98 81.98
"2004-12-31" "2004-12-31" 83.95 87.17 83.82 87.16 82.05 75.31 80.88 87.07 82.1
"2005-01-31" "2005-01-31" 83.87 87.25 83.74 87.22 81.85 75.51 80.53 87.1 82.24
"2005-02-28" "2005-02-28" 84.11 87.34 83.99 87.27 82.24 75.79 81.1 87.18 82.31
"2005-03-31" "2005-03-31" 84.3 87.42 84.17 87.28 82.48 76.25 81.58 87.22 82.45
"2005-04-30" "2005-04-30" 84.48 87.53 84.37 87.49 82.45 76.59 81.93 87.33 82.6
"2005-05-31" "2005-05-31" 84.56 87.65 84.44 87.64 82.57 76.64 81.66 87.49 82.72
"2005-06-30" "2005-06-30" 84.74 87.7 84.63 87.67 82.58 77.17 82.17 87.64 82.83
"2005-07-31" "2005-07-31" 84.94 87.8 84.82 87.76 82.46 77.62 82.9 87.77 82.93
"2005-08-31" "2005-08-31" 85.18 87.91 85.04 87.87 82.59 77.94 83.61 87.95 83.06
"2005-09-30" "2005-09-30" 85.57 87.99 85.45 87.97 82.58 78.48 85.13 88.09 83.21
"2005-10-31" "2005-10-31" 85.73 88.1 85.61 88.1 82.67 78.87 85.27 88.13 83.38
"2005-11-30" "2005-11-30" 85.7 88.2 85.58 88.22 82.84 78.94 84.41 88.29 83.57
"2005-12-31" "2005-12-31" 85.83 88.31 85.71 88.32 83.13 79.22 84.52 88.32 83.76
"2006-01-31" "2006-01-31" 85.97 88.37 85.86 88.35 83.22 79.75 85.11 88.22 83.75
"2006-02-28" "2006-02-28" 86.14 88.46 86.04 88.4 83.62 80.06 85.28 88.11 83.9
"2006-03-31" "2006-03-31" 86.23 88.6 86.15 88.55 83.61 80.27 85.14 88.28 84.14
"2006-04-30" "2006-04-30" 86.44 88.71 86.33 88.66 83.72 80.77 85.56 88.33 84.31
"2006-05-31" "2006-05-31" 86.66 88.81 86.55 88.8 84.09 81.04 85.84 88.73 84.55
"2006-06-30" "2006-06-30" 86.78 88.95 86.67 88.93 84.31 81.18 85.83 89.04 84.66
"2006-07-31" "2006-07-31" 87.02 89.08 86.89 89.05 84.66 81.48 86.14 89.15 84.8
"2006-08-31" "2006-08-31" 87.13 89.17 87.02 89.08 84.99 81.71 86.44 89.36 84.91
"2006-09-30" "2006-09-30" 87.08 89.34 86.98 89.29 85.3 81.67 85.35 89.54 85.14
"2006-10-31" "2006-10-31" 87.09 89.47 87 89.42 85.19 81.73 84.8 89.66 85.31
"2006-11-30" "2006-11-30" 87.27 89.59 87.17 89.54 85.37 81.84 85.14 89.8 85.46
"2006-12-31" "2006-12-31" 87.44 89.73 87.35 89.69 85.32 82.15 85.63 89.84 85.64
"2007-01-31" "2007-01-31" 87.62 89.9 87.52 89.94 85.35 82.25 85.95 89.86 85.85
"2007-02-28" "2007-02-28" 87.78 90.06 87.69 90.07 85.29 82.55 86.14 90.22 86
"2007-03-31" "2007-03-31" 87.88 90.17 87.83 90.17 85.3 82.66 86.66 90.1 86.12
"2007-04-30" "2007-04-30" 88.08 90.33 88 90.34 85.87 82.79 86.75 90.33 86.3
"2007-05-31" "2007-05-31" 88.26 90.48 88.17 90.51 85.93 82.83 87.13 90.46 86.47
"2007-06-30" "2007-06-30" 88.38 90.59 88.28 90.62 86.18 83.05 87.08 90.58 86.6
"2007-07-31" "2007-07-31" 88.57 90.75 88.46 90.77 86.44 83.14 87.24 90.77 86.78
"2007-08-31" "2007-08-31" 88.66 90.86 88.57 90.81 86.91 83.32 87.19 90.67 86.93
"2007-09-30" "2007-09-30" 88.93 91 88.86 90.94 87.47 83.66 87.83 90.8 87.06
"2007-10-31" "2007-10-31" 89.3 91.13 89.25 91.07 88.55 84.02 88.42 90.89 87.2
"2007-11-30" "2007-11-30" 89.93 91.28 89.86 91.24 89.11 84.8 90.2 91 87.41
"2007-12-31" "2007-12-31" 90.1 91.41 90.06 91.38 89.49 85.14 90.4 91.03 87.61
"2008-01-31" "2008-01-31" 90.48 91.56 90.44 91.61 90.05 85.58 90.8 91.76 87.8
"2008-02-29" "2008-02-29" 90.68 91.68 90.65 91.73 90.33 85.89 90.79 91.71 88.02
"2008-03-31" "2008-03-31" 90.92 91.87 90.9 91.85 90.66 86.35 91.36 91.71 88.24
"2008-04-30" "2008-04-30" 91.01 91.95 91.01 91.96 91.2 86.84 90.94 91.95 88.39
"2008-05-31" "2008-05-31" 91.49 92.1 91.46 92.1 91.56 87.58 92.28 92.08 88.58
"2008-06-30" "2008-06-30" 91.86 92.26 91.79 92.27 91.87 88.17 93.25 92.28 88.8
"2008-07-31" "2008-07-31" 92.2 92.38 92.16 92.39 92.36 88.79 93.57 92.38 88.97
"2008-08-31" "2008-08-31" 92.08 92.53 92.05 92.55 92.4 88.6 92.71 92.6 89.11
"2008-09-30" "2008-09-30" 92.17 92.66 92.15 92.66 92.52 88.92 93.02 92.69 89.24
"2008-10-31" "2008-10-31" 92.13 92.79 92.12 92.83 92.76 89.1 91.84 92.93 89.45
"2008-11-30" "2008-11-30" 91.83 92.91 91.83 92.98 92.45 88.77 89.73 93.03 89.58
"2008-12-31" "2008-12-31" 91.52 93.01 91.52 93.08 92.43 88.35 88.08 93.1 89.69
"2009-01-31" "2009-01-31" 91.54 93.12 91.56 93.2 92.4 88.38 87.72 93.17 89.95
"2009-02-28" "2009-02-28" 91.77 93.26 91.79 93.36 92.44 88.39 88.22 93.28 90.11
"2009-03-31" "2009-03-31" 91.45 93.26 91.48 93.3 92.14 88.1 87.42 93.51 90.27
"2009-04-30" "2009-04-30" 91.46 93.43 91.46 93.43 91.97 87.61 87.46 93.72 90.44
"2009-05-31" "2009-05-31" 91.51 93.49 91.52 93.52 91.85 87.55 87.92 93.64 90.6
"2009-06-30" "2009-06-30" 91.74 93.55 91.7 93.57 91.65 87.81 88.87 93.73 90.69
"2009-07-31" "2009-07-31" 91.66 93.63 91.67 93.65 91.4 87.28 88.54 93.81 90.87
"2009-08-31" "2009-08-31" 91.96 93.72 91.93 93.77 91.3 87.56 89.79 93.88 91.07
"2009-09-30" "2009-09-30" 91.85 93.76 91.87 93.73 91.32 87.58 89.62 93.93 91.26
"2009-10-31" "2009-10-31" 92 93.85 92 93.85 91.27 87.67 90.04 93.98 91.46
"2009-11-30" "2009-11-30" 92.26 93.91 92.25 93.92 91.23 87.86 91.11 94.14 91.58
"2009-12-31" "2009-12-31" 92.34 94.02 92.34 94.06 91.15 87.99 91.12 94.27 91.83
"2010-01-31" "2010-01-31" 92.45 94.04 92.45 94.06 91.3 88.03 91.9 94.16 91.71
"2010-02-28" "2010-02-28" 92.57 94.14 92.58 94.12 91.4 88.1 91.77 94.19 91.81
"2010-03-31" "2010-03-31" 92.75 94.23 92.73 94.22 91.71 88.48 92.47 94.31 91.91
"2010-04-30" "2010-04-30" 92.99 94.25 92.97 94.26 91.98 89.08 92.67 94.26 92.12
"2010-05-31" "2010-05-31" 93.07 94.37 93.05 94.37 91.77 89.31 92.89 94.48 92.38
"2010-06-30" "2010-06-30" 93.13 94.44 93.12 94.46 91.85 89.5 92.5 94.52 92.65
"2010-07-31" "2010-07-31" 93.31 94.59 93.32 94.6 92.13 89.78 92.69 94.52 92.87
"2010-08-31" "2010-08-31" 93.45 94.68 93.43 94.69 92.32 90.01 92.78 94.62 93.13
"2010-09-30" "2010-09-30" 93.53 94.74 93.55 94.76 92.35 90.21 93.24 94.66 93.37
"2010-10-31" "2010-10-31" 93.76 94.85 93.76 94.86 92.41 90.48 93.83 94.79 93.5
"2010-11-30" "2010-11-30" 94 94.96 94.01 94.96 92.6 90.75 94.6 94.96 93.65
"2010-12-31" "2010-12-31" 94.36 95.05 94.36 95.03 92.85 91.37 95.77 95.01 93.81
"2011-01-31" "2011-01-31" 94.63 95.17 94.63 95.15 92.75 92 96.47 95.34 93.93
"2011-02-28" "2011-02-28" 94.83 95.28 94.82 95.11 93.29 92.41 96.87 95.41 94.19
"2011-03-31" "2011-03-31" 95.22 95.4 95.2 95.47 93.67 92.98 97.66 95.6 94.48
"2011-04-30" "2011-04-30" 95.57 95.56 95.54 95.65 93.92 93.55 97.99 95.76 94.69
"2011-05-31" "2011-05-31" 95.61 95.68 95.6 95.73 94.38 93.56 97.98 95.84 94.87
"2011-06-30" "2011-06-30" 95.68 95.84 95.71 95.86 94.38 93.83 97.61 95.93 95.06
"2011-07-31" "2011-07-31" 95.73 95.87 95.77 95.76 94.55 94.29 97.9 95.82 95.32
"2011-08-31" "2011-08-31" 95.85 96.04 95.87 95.85 94.72 94.43 98.01 96.44 95.19
"2011-09-30" "2011-09-30" 96.27 96.17 96.3 96.23 94.99 94.7 98.67 96.57 95.41
"2011-10-31" "2011-10-31" 96.56 96.29 96.58 96.36 95.27 95.14 99.18 96.67 95.62
"2011-11-30" "2011-11-30" 96.83 96.43 96.83 96.47 95.52 95.6 99.72 96.64 96.02
"2011-12-31" "2011-12-31" 96.94 96.54 96.93 96.57 95.62 95.82 99.87 96.77 96.16
"2012-01-31" "2012-01-31" 97.18 96.67 97.17 96.67 95.52 96.19 100.66 97.56 96.32
"2012-02-29" "2012-02-29" 97.43 96.8 97.43 96.62 96.23 96.52 101.29 97.66 96.41
"2012-03-31" "2012-03-31" 97.73 96.92 97.69 96.94 96.48 96.72 102.08 97.72 96.5
"2012-04-30" "2012-04-30" 98.05 97.05 98.05 97.15 96.49 97.26 102.36 97.9 96.58
"2012-05-31" "2012-05-31" 97.96 97.16 97.97 97.23 96.55 97.41 101.66 97.89 96.61
"2012-06-30" "2012-06-30" 97.95 97.27 98 97.32 96.96 97.41 100.81 97.86 96.76
"2012-07-31" "2012-07-31" 98.07 97.43 98.1 97.4 96.87 97.92 101.07 98.51 96.93
"2012-08-31" "2012-08-31" 98.36 97.49 98.4 97.34 97.18 98.33 102.68 98.56 97.05
"2012-09-30" "2012-09-30" 98.74 97.6 98.72 97.62 97.49 98.62 103.29 98.86 97.23
"2012-10-31" "2012-10-31" 98.94 97.74 98.93 97.78 97.97 98.93 103.18 98.98 97.5
"2012-11-30" "2012-11-30" 98.93 97.79 98.95 97.82 98.24 99 102.55 99.17 97.58
"2012-12-31" "2012-12-31" 99.08 97.96 99.08 98.01 98.52 99.08 102.71 99.31 97.68
"2013-01-31" "2013-01-31" 99.15 97.99 99.15 98.02 98.5 99.45 102.63 97.71 98.08
