date,USDJPY Curncy,USSW2 Curncy,JYSW2 Curncy,.USGG310 Curncy,.GJGB310 Curncy,.SPXWORLD Curncy,.NKYXASI Curncy,MXWO Index,CO1 Comdty
2000-01-03,101.45,6.92,-0.45,1.181,,1.0232,,1422.18,
2000-01-04,103.22,6.855,-0.525,1.05,-1.683,1.0153,-149.6642,1378.31,24.39
2000-01-05,104.14,6.91,-0.505,1.169,-1.6560000000000001,1.0313,-152.6638,1359.54,23.73
2000-01-06,105.23,6.86,-0.51,1.141,-1.579,1.0442,-154.6894,1344.06,23.62
2000-01-07,105.34,6.85,-0.54,1.135,-1.592,1.0477,-154.7848,1375.88,23.09
2000-01-10,105.16,6.89,-0.54,1.162,,1.0478,-153.7385,1391.11,23.73
2000-01-11,105.95,6.96,-0.565,1.231,-1.592,1.0377,-155.5228,1386.34,24.62
2000-01-12,105.79,6.985,-0.58,1.2570000000000001,-1.607,1.0394,-155.3603,1377.98,24.23
2000-01-13,106.17,6.925,-0.56265,1.227,-1.697,1.0427,-156.5267,1390.3,24.53
2000-01-14,105.87,6.95,-0.54,1.279,-1.683,1.0449,-156.5881,1402.14,25.17
2000-01-17,104.9,6.95,-0.56265,1.282,-1.6840000000000002,1.0404,-157.3865,1408.31,25.65
2000-01-18,105.67,6.99,-0.51,1.37,-1.651,1.0457,-157.0657,1391.6,26.05
2000-01-19,105.32,6.98,-0.5075,1.4060000000000001,-1.661,1.0503,-158.1005,1386.18,25.84
2000-01-20,105.47,7.0,-0.5,1.332,-1.681,1.0469,-158.4133,1380.78,26.1
2000-01-21,104.78,6.95,-0.4975,1.301,-1.6520000000000001,1.0471,-157.0426,1376.52,26.35
2000-01-24,105.57,6.91,-0.46,1.233,-1.576,1.0327,-158.2915,1357.16,26.06
2000-01-25,106.04,6.93,-0.44,1.13,-1.552,1.0423,-158.8127,1352.8,26.54
2000-01-26,105.66,6.9399999999999995,-0.44,1.103,-1.573,1.0359,-158.6518,1355.46,26.13
2000-01-27,105.12,7.01,-0.4325,1.09,-1.573,1.0305,-157.0576,1357.12,25.62
2000-01-28,107.13,7.09,-0.45,1.038,-1.6019999999999999,1.0193,-157.9036,1334.47,25.68
