"Index" "BZ_CPI" "BZ_CPI_CORE" "BZ_CPI_FOOD_BEVERAGES" "BZ_CPI_HOUSING" "BZ_CPI_TRANSPORT" "BZ_CPI_MED_CARE"
"2006-04-30" "2006-04-30" 2569.13 3889885.5 NA NA NA NA
"2006-05-31" "2006-05-31" 2575.11 3899849.9 NA NA NA NA
"2006-06-30" "2006-06-30" 2574.42 3907769.7 47.228 58.087 75.104 50.322
"2006-07-31" "2006-07-31" 2581.13 3916097.1 47.365 58.075 75.382 50.689
"2006-08-31" "2006-08-31" 2584.81 3924180.2 47.436 58.139 75.14 50.993
"2006-09-30" "2006-09-30" 2593.59 3937313.4 47.522 58.383 75.133 51.34
"2006-10-31" "2006-10-31" 2600.77 3948967.2 48.016 58.5 75.035 51.607
"2006-11-30" "2006-11-30" 2607.87 3959419 48.439 58.453 74.968 51.901
"2006-12-31" "2006-12-31" 2616.69 3980310.7 48.569 58.564 75.822 52.155
"2007-01-31" "2007-01-31" 2624.78 3992322.4 49.05 58.605 76.292 52.536
"2007-02-28" "2007-02-28" 2633.87 4003276 49.271 58.716 76.346 52.967
"2007-03-31" "2007-03-31" 2642.41 4013829 49.709 58.869 76.514 53.332
"2007-04-30" "2007-04-30" 2647.26 4022785.6 49.625 59.099 76.751 53.626
"2007-05-31" "2007-05-31" 2656.51 4032682.2 49.704 59.211 76.927 53.921
"2007-06-30" "2007-06-30" 2666.87 4045484 50.405 59.359 76.62 54.249
"2007-07-31" "2007-07-31" 2676.87 4051413 51.131 58.92 76.558 54.591
"2007-08-31" "2007-08-31" 2691.35 4070964.9 51.944 58.949 76.597 54.864
"2007-09-30" "2007-09-30" 2700.01 4083172.6 52.225 59.267 76.474 55.248
"2007-10-31" "2007-10-31" 2707.73 4096675.9 52.507 59.256 76.566 55.563
"2007-11-30" "2007-11-30" 2717.95 4112054.3 52.811 59.499 76.857 55.88
"2007-12-31" "2007-12-31" 2734.74 4126799.4 53.841 59.594 77.403 56.187
"2008-01-31" "2008-01-31" 2745.95 4139724.3 54.503 59.689 77.712 56.519
"2008-02-29" "2008-02-29" 2755.79 4155199.5 54.705 59.808 77.759 56.767
"2008-03-31" "2008-03-31" 2768.41 4174918.1 55.137 60.137 78.062 57.108
"2008-04-30" "2008-04-30" 2780.82 4196614.6 55.766 60.252 78.023 57.474
"2008-05-31" "2008-05-31" 2803.32 4218682.5 56.853 60.445 78.28 57.721
"2008-06-30" "2008-06-30" 2826.05 4242391.3 58.274 60.602 78.484 57.928
"2008-07-31" "2008-07-31" 2846.48 4265387.5 59.084 60.965 78.845 58.183
"2008-08-31" "2008-08-31" 2857.37 4290690.6 59.09 61.435 78.884 58.556
"2008-09-30" "2008-09-30" 2869.24 4312246.2 59.013 61.742 79.192 58.813
"2008-10-31" "2008-10-31" 2882.21 4333330.3 59.362 62.125 79.208 59.013
"2008-11-30" "2008-11-30" 2892.08 4349744 59.629 62.392 79.192 59.285
"2008-12-31" "2008-12-31" 2897.84 4363582.9 59.861 62.567 79.168 59.552
"2009-01-31" "2009-01-31" 2907.43 4378827.8 60.131 62.873 79.438 59.939
"2009-02-28" "2009-02-28" 2917.78 4397857.7 60.317 63.011 79.628 60.394
"2009-03-31" "2009-03-31" 2923.2 4408746.5 60.401 63.169 79.572 60.654
"2009-04-30" "2009-04-30" 2933.14 4431038.7 60.498 63.643 79.405 60.921
"2009-05-31" "2009-05-31" 2946.64 4449771 60.825 64.101 79.262 61.262
"2009-06-30" "2009-06-30" 2960.69 4464420.4 61.409 64.274 79.278 61.568
"2009-07-31" "2009-07-31" 2974.7 4482974.4 61.476 64.981 79.389 61.864
"2009-08-31" "2009-08-31" 2984.45 4500100 61.575 65.286 79.302 62.167
"2009-09-30" "2009-09-30" 2995.36 4517480.2 61.648 65.691 79.516 62.471
"2009-10-31" "2009-10-31" 3003.68 4531654.2 61.544 65.875 79.922 62.853
"2009-11-30" "2009-11-30" 3014.24 4550154.3 61.784 66 80.409 63.11
"2009-12-31" "2009-12-31" 3023.53 4570536 61.821 66.113 81.036 63.382
"2010-01-31" "2010-01-31" 3040.7 4591471.4 62.284 66.291 82.211 63.914
"2010-02-28" "2010-02-28" 3057.68 4609738.5 62.882 66.497 82.861 64.298
"2010-03-31" "2010-03-31" 3072.7 4630813.7 63.738 66.709 82.413 64.69
"2010-04-30" "2010-04-30" 3084.9 4646703.6 64.598 66.763 82.339 65.039
"2010-05-31" "2010-05-31" 3098.06 4668584.6 64.843 67.283 82.413 65.41
"2010-06-30" "2010-06-30" 3104.33 4687644.3 64.487 67.553 82.232 65.756
"2010-07-31" "2010-07-31" 3113.13 4706939.4 64.171 67.917 82.298 66.098
"2010-08-31" "2010-08-31" 3121.76 4722003.1 64.094 68.074 82.224 66.495
"2010-09-30" "2010-09-30" 3138.22 4742476 64.901 68.346 82.331 66.834
"2010-10-31" "2010-10-31" 3160.83 4765910.3 66.057 68.674 82.627 67.208
"2010-11-30" "2010-11-30" 3183.97 4790939.4 67.358 69.065 82.734 67.618
"2010-12-31" "2010-12-31" 3201.84 4819204.9 68.146 69.404 82.974 68.051
"2011-01-31" "2011-01-31" 3221.27 4847830.3 68.691 69.827 84.26 68.602
"2011-02-28" "2011-02-28" 3240.39 4881030.6 68.89 70.051 84.648 69.007
"2011-03-31" "2011-03-31" 3264.71 4918661.5 69.262 70.373 85.968 69.38
"2011-04-30" "2011-04-30" 3283.85 4938828.6 69.671 70.915 87.318 69.824
"2011-05-31" "2011-05-31" 3300.12 4963490.9 70.256 71.595 87.109 70.25
"2011-06-30" "2011-06-30" 3313.32 4992814 70.341 72.011 86.577 70.755
"2011-07-31" "2011-07-31" 3328.94 5020462.7 70.298 72.205 86.976 71.293
"2011-08-31" "2011-08-31" 3349.44 5045778.7 70.903 72.436 86.88 71.799
"2011-09-30" "2011-09-30" 3368.54 5071362.2 71.499 72.95 87.558 72.223
"2011-10-31" "2011-10-31" 3382.17 5097101.9 71.799 73.403 87.978 72.685
"2011-11-30" "2011-11-30" 3396.55 5119657.5 72.352 73.748 87.987 73.078
"2011-12-31" "2011-12-31" 3409.24 5140387.4 73.046 74.08 87.987 73.597
"2012-01-31" "2012-01-31" 3419.8 5161104.8 73.433 74.472 88.594 74.274
"2012-02-29" "2012-02-29" 3429.44 5179667.7 73.661 74.919 88.301 74.808
"2012-03-31" "2012-03-31" 3434.81 5194793.4 73.794 75.279 88.443 75.31
"2012-04-30" "2012-04-30" 3450.42 5224213.9 74.141 75.881 88.531 75.867
"2012-05-31" "2012-05-31" 3464.82 5242359 74.778 76.488 88.018 76.337
"2012-06-30" "2012-06-30" 3475.08 5244759.4 75.526 76.702 86.979 76.803
"2012-07-31" "2012-07-31" 3503.01 5283409.1 76.41 77.116 86.953 77.241
"2012-08-31" "2012-08-31" 3525.41 5312165 77.235 77.286 87.005 77.712
"2012-09-30" "2012-09-30" 3546.71 5339762.4 78.362 77.835 86.935 78.147
"2012-10-31" "2012-10-31" 3567.17 5369310.3 79.334 78.13 87.144 78.686
"2012-11-30" "2012-11-30" 3586.66 5402228.7 79.651 78.631 87.737 79.111
"2012-12-31" "2012-12-31" 3609.06 5443323.3 80.257 79.126 88.395 79.578
"2013-01-31" "2013-01-31" 3629.86 5466105.9 81.565 78.968 89.058 80.31
"2013-02-28" "2013-02-28" 3645.86 5470442 82.805 77.088 89.779 80.961
"2013-03-31" "2013-03-31" 3659.86 5491655.3 83.567 77.481 89.698 81.471
"2013-04-30" "2013-04-30" 3674.01 5514497 84.21 77.962 89.528 82.057
"2013-05-31" "2013-05-31" 3690.24 5541882.3 84.589 78.546 89.304 82.607
"2013-06-30" "2013-06-30" 3705.72 5564512.8 84.953 78.994 89.429 83.111
"2013-07-31" "2013-07-31" 3721.85 5591938.6 85.004 79.444 88.839 83.61
"2013-08-31" "2013-08-31" 3739.3 5621573.3 85.191 79.897 88.785 84.437
"2013-09-30" "2013-09-30" 3754.72 5651470.3 85.463 80.393 89.176 85.079
"2013-10-31" "2013-10-31" 3776.52 5684360.2 86.258 80.843 89.328 85.666
"2013-11-30" "2013-11-30" 3795.96 5718857.1 86.482 81.401 89.649 86.18
"2013-12-31" "2013-12-31" 3824.28 5760682.7 87.062 81.824 91.308 86.689
"2014-01-31" "2014-01-31" 3833.16 5775792.5 87.454 82.274 91.28 87.555
"2014-02-28" "2014-02-28" 3852.56 5810435.6 88.005 82.907 91.235 88.072
"2014-03-31" "2014-03-31" 3884.19 5843072 89.527 83.181 92.494 88.724
"2014-04-30" "2014-04-30" 3905.24 5870420.3 90.503 83.905 92.79 89.398
"2014-05-31" "2014-05-31" 3925.19 5901874.4 91.191 84.417 92.372 89.97
"2014-06-30" "2014-06-30" 3946.06 5938058.1 91.483 84.881 92.714 90.609
"2014-07-31" "2014-07-31" 3961.91 5966288.8 91.656 85.899 91.805 91.225
"2014-08-31" "2014-08-31" 3981.55 5997698.8 91.666 86.707 92.108 91.891
"2014-09-30" "2014-09-30" 4007.62 6035073.6 92.509 87.375 92.689 92.525
"2014-10-31" "2014-10-31" 4025.92 6066137.9 92.796 87.969 93.05 93.08
"2014-11-30" "2014-11-30" 4046.1 6092188.8 93.25 88.576 93.45 93.76
"2014-12-31" "2014-12-31" 4071.23 6135255 94.052 89.027 94.74 94.435
"2015-01-31" "2015-01-31" 4107.33 6190481.4 95.096 91.182 96.474 95.37
"2015-02-28" "2015-02-28" 4148.33 6234214.2 95.876 92.294 98.596 96.199
"2015-03-31" "2015-03-31" 4200.24 6313270.9 96.739 97.241 99.059 96.931
"2015-04-30" "2015-04-30" 4226.29 6360598.9 97.581 98.136 99.159 97.687
"2015-05-31" "2015-05-31" 4257.95 6398000.3 99.005 99.314 98.861 98.468
"2015-06-30" "2015-06-30" 4298.07 6450008.8 99.966 100.178 99.533 99.295
"2015-07-31" "2015-07-31" 4338.48 6509590.9 101.015 101.74 99.683 100.507
"2015-08-31" "2015-08-31" 4358.46 6537330.7 101.288 102.035 99.394 101.391
"2015-09-30" "2015-09-30" 4387.56 6581679.8 101.734 103.372 100.109 102.273
"2015-10-31" "2015-10-31" 4424.89 6622977.8 102.385 104.127 101.851 103.132
"2015-11-30" "2015-11-30" 4468.95 6666339.1 103.972 104.939 102.941 103.916
"2015-12-31" "2015-12-31" 4506.14 6715647.2 105.344 105.443 104.341 104.831
"2016-01-31" "2016-01-31" 4546.88 6762013.2 107.282 106.297 106.188 106.162
"2016-02-29" "2016-02-29" 4577.54 6804239.5 108.452 106.137 106.846 107.117
"2016-03-31" "2016-03-31" 4596.33 6815263.9 109.526 105.458 107.017 107.974
"2016-04-30" "2016-04-30" 4622.16 6863621.5 110.61 105.057 107.049 108.903
"2016-05-31" "2016-05-31" 4655.91 6923097.3 111.561 106.938 106.428 109.948
"2016-06-30" "2016-06-30" 4681.52 6949770.9 112.822 107.611 105.864 110.982
"2016-07-31" "2016-07-31" 4715.88 6983436.8 114.728 107.299 106.288 111.925
"2016-08-31" "2016-08-31" 4746.86 7023085.3 115.382 107.621 106.575 113.011
"2016-09-30" "2016-09-30" 4757.28 7049230.5 115.302 108.299 106.468 113.87
"2016-10-31" "2016-10-31" 4770.71 7075097.6 115.14 108.754 107.267 114.815
"2016-11-30" "2016-11-30" 4779.56 7106801.4 114.564 109.08 107.567 115.814
"2016-12-31" "2016-12-31" 4788.44 7128925.5 114.427 108.437 108.761 116.763
"2017-01-31" "2017-01-31" 4790.83 7142921.3 114.427 108.621 109.598 117.814
"2017-02-28" "2017-02-28" 4796.41 7166234.9 113.958 108.882 109.872 118.875
"2017-03-31" "2017-03-31" 4807.94 7191325 114.106 110.167 108.927 119.921
"2017-04-30" "2017-04-30" 4813.79 7208893 114.642 108.966 108.862 120.988
"2017-05-31" "2017-05-31" 4824.92 7233005.6 114.47 111.298 108.405 122.004
"2017-06-30" "2017-06-30" 4824.83 7244802.2 114.413 110.441 107.841 123.066
"2017-07-31" "2017-07-31" 4843.38 7275824.9 114.161 112.252 108.208 124.124
"2017-08-31" "2017-08-31" 4861.11 7296083.1 113.122 112.892 109.863 125.204
"2017-09-30" "2017-09-30" 4876.55 7321137.6 112.817 112.756 110.731 126.206
"2017-10-31" "2017-10-31" 4896.99 7354119.6 112.648 114.256 111.274 127.165
"2017-11-30" "2017-11-30" 4911.7 7377931.2 111.882 115.707 111.852 128.157
"2017-12-31" "2017-12-31" 4928.46 7401308.4 112.285 115.244 113.228 129.208
"2018-01-31" "2018-01-31" 4928.2 7387590.7 112.7 114.265 114.474 130.345
"2018-02-28" "2018-02-28" 4934.37 7395938.4 112.384 114.516 115.321 131.531
"2018-03-31" "2018-03-31" 4937.57 7401028.7 112.216 114.734 115.033 132.767
"2018-04-30" "2018-04-30" 4948.31 7424344.6 112.182 114.929 115.033 133.936
