"Index" "BZ_CPI" "BZ_CPI_CORE" "BZ_CPI_FOOD_BEVERAGES" "BZ_CPI_HOUSING" "BZ_CPI_TRANSPORT" "BZ_CPI_MED_CARE"
"1995-01-31" "1995-01-31" 1033.12 1540789.4 NA NA NA NA
"1995-02-28" "1995-02-28" 1044.32 1564673.8 NA NA NA NA
"1995-03-31" "1995-03-31" 1063.33 1597108.3 NA NA NA NA
"1995-04-30" "1995-04-30" 1086.02 1638012.5 NA NA NA NA
"1995-05-31" "1995-05-31" 1111.47 1691944 NA NA NA NA
"1995-06-30" "1995-06-30" 1134.62 1736628.3 NA NA NA NA
"1995-07-31" "1995-07-31" 1160.57 1782310.3 NA NA NA NA
"1995-08-31" "1995-08-31" 1175.22 1807932 NA NA NA NA
"1995-09-30" "1995-09-30" 1192.95 1837910.1 NA NA NA NA
"1995-10-31" "1995-10-31" 1212.33 1870044.9 NA NA NA NA
"1995-11-30" "1995-11-30" 1231.88 1902205.1 NA NA NA NA
"1995-12-31" "1995-12-31" 1249.51 1934576 NA NA NA NA
"1996-01-31" "1996-01-31" 1260.63 1956735.4 NA NA NA NA
"1996-02-29" "1996-02-29" 1273.7 1982919.5 NA NA NA NA
"1996-03-31" "1996-03-31" 1280.84 1998682.5 NA NA NA NA
"1996-04-30" "1996-04-30" 1293.36 2009715.2 NA NA NA NA
"1996-05-31" "1996-05-31" 1305.7 2032260.3 NA NA NA NA
"1996-06-30" "1996-06-30" 1319.58 2051100.8 NA NA NA NA
"1996-07-31" "1996-07-31" 1333.21 2073397.9 NA NA NA NA
"1996-08-31" "1996-08-31" 1343.24 2090700.1 NA NA NA NA
"1996-09-30" "1996-09-30" 1351.3 2102597.4 NA NA NA NA
"1996-10-31" "1996-10-31" 1357.91 2113228.5 NA NA NA NA
"1996-11-30" "1996-11-30" 1364.48 2126824.1 NA NA NA NA
"1996-12-31" "1996-12-31" 1369.35 2137169.7 NA NA NA NA
"1997-01-31" "1997-01-31" 1379.64 2148753.8 NA NA NA NA
"1997-02-28" "1997-02-28" 1385.53 2156615.5 NA NA NA NA
"1997-03-31" "1997-03-31" 1393.9 2168564.1 NA NA NA NA
"1997-04-30" "1997-04-30" 1402.69 2184987.5 NA NA NA NA
"1997-05-31" "1997-05-31" 1406.4 2198246.2 NA NA NA NA
"1997-06-30" "1997-06-30" 1413.88 2208947.6 NA NA NA NA
"1997-07-31" "1997-07-31" 1415.51 2215574.9 NA NA NA NA
"1997-08-31" "1997-08-31" 1419.98 2222313.1 NA NA NA NA
"1997-09-30" "1997-09-30" 1426.31 2230029.7 NA NA NA NA
"1997-10-31" "1997-10-31" 1430.89 2238658.1 NA NA NA NA
"1997-11-30" "1997-11-30" 1435.39 2242315.8 NA NA NA NA
"1997-12-31" "1997-12-31" 1440.14 2246965.6 NA NA NA NA
"1998-01-31" "1998-01-31" 1445.05 2252849.1 NA NA NA NA
"1998-02-28" "1998-02-28" 1449.72 2259622.5 NA NA NA NA
"1998-03-31" "1998-03-31" 1454.78 2266673.9 NA NA NA NA
"1998-04-30" "1998-04-30" 1455.88 2261611.3 NA NA NA NA
"1998-05-31" "1998-05-31" 1462.84 2264247.4 NA NA NA NA
"1998-06-30" "1998-06-30" 1464.74 2262628.4 NA NA NA NA
"1998-07-31" "1998-07-31" 1460.64 2262230.2 NA NA NA NA
"1998-08-31" "1998-08-31" 1457.61 2262788.3 NA NA NA NA
"1998-09-30" "1998-09-30" 1459.29 2264681.1 NA NA NA NA
"1998-10-31" "1998-10-31" 1458.96 2268221.9 NA NA NA NA
"1998-11-30" "1998-11-30" 1458.75 2272938.2 NA NA NA NA
"1998-12-31" "1998-12-31" 1462.09 2277784.6 NA NA NA NA
"1999-01-31" "1999-01-31" 1467.92 2285412.5 NA NA NA NA
"1999-02-28" "1999-02-28" 1481.46 2297508.3 NA NA NA NA
"1999-03-31" "1999-03-31" 1497.43 2319612.3 NA NA NA NA
"1999-04-30" "1999-04-30" 1504.32 2328133.6 NA NA NA NA
"1999-05-31" "1999-05-31" 1510.95 2339273.5 NA NA NA NA
"1999-06-30" "1999-06-30" 1516.96 2349888.6 NA NA NA NA
"1999-07-31" "1999-07-31" 1529.52 2360566.9 NA NA NA NA
"1999-08-31" "1999-08-31" 1541.14 2373868.5 NA NA NA NA
"1999-09-30" "1999-09-30" 1551.52 2384129.1 NA NA NA NA
"1999-10-31" "1999-10-31" 1567.13 2407431.8 NA NA NA NA
"1999-11-30" "1999-11-30" 1582.07 2420175.9 NA NA NA NA
"1999-12-31" "1999-12-31" 1589.47 2431728 NA NA NA NA
"2000-01-31" "2000-01-31" 1595.84 2441855 NA NA NA NA
"2000-02-29" "2000-02-29" 1597.26 2446480.6 NA NA NA NA
"2000-03-31" "2000-03-31" 1601.02 2453414.4 NA NA NA NA
"2000-04-30" "2000-04-30" 1606.83 2464445.2 NA NA NA NA
"2000-05-31" "2000-05-31" 1611.16 2469892.5 NA NA NA NA
"2000-06-30" "2000-06-30" 1618.49 2480596.4 NA NA NA NA
"2000-07-31" "2000-07-31" 1639.12 2494933.4 NA NA NA NA
"2000-08-31" "2000-08-31" 1662.71 2507866.1 NA NA NA NA
"2000-09-30" "2000-09-30" 1673.06 2519924.2 NA NA NA NA
"2000-10-31" "2000-10-31" 1671.37 2527753.8 NA NA NA NA
"2000-11-30" "2000-11-30" 1675.14 2536286.4 NA NA NA NA
"2000-12-31" "2000-12-31" 1682.11 2542909.7 NA NA NA NA
"2001-01-31" "2001-01-31" 1688.25 2551032.8 NA NA NA NA
"2001-02-28" "2001-02-28" 1696.21 2563341.4 NA NA NA NA
"2001-03-31" "2001-03-31" 1703.39 2572951.9 NA NA NA NA
"2001-04-30" "2001-04-30" 1712.38 2582235.4 NA NA NA NA
"2001-05-31" "2001-05-31" 1725.65 2596066.1 NA NA NA NA
"2001-06-30" "2001-06-30" 1739.19 2620023.4 NA NA NA NA
"2001-07-31" "2001-07-31" 1756.11 2644867.6 NA NA NA NA
"2001-08-31" "2001-08-31" 1770.55 2666089 NA NA NA NA
"2001-09-30" "2001-09-30" 1782.35 2682409.9 NA NA NA NA
"2001-10-31" "2001-10-31" 1792.99 2698361.1 NA NA NA NA
"2001-11-30" "2001-11-30" 1802.22 2717062.8 NA NA NA NA
"2001-12-31" "2001-12-31" 1810.3 2735109.9 NA NA NA NA
"2002-01-31" "2002-01-31" 1815.3 2749862.9 NA NA NA NA
"2002-02-28" "2002-02-28" 1822.26 2765405.2 NA NA NA NA
"2002-03-31" "2002-03-31" 1833.82 2781026.5 NA NA NA NA
"2002-04-30" "2002-04-30" 1848.06 2794591.5 NA NA NA NA
"2002-05-31" "2002-05-31" 1859.2 2809055.8 NA NA NA NA
"2002-06-30" "2002-06-30" 1872.05 2825063 NA NA NA NA
"2002-07-31" "2002-07-31" 1889.13 2850742 NA NA NA NA
"2002-08-31" "2002-08-31" 1904.31 2874766.6 NA NA NA NA
"2002-09-30" "2002-09-30" 1924.48 2899566 NA NA NA NA
"2002-10-31" "2002-10-31" 1946.57 2930663.3 NA NA NA NA
"2002-11-30" "2002-11-30" 2000.54 2977521.4 NA NA NA NA
"2002-12-31" "2002-12-31" 2037.9 3022646.3 NA NA NA NA
"2003-01-31" "2003-01-31" 2077.69 3068302.8 NA NA NA NA
"2003-02-28" "2003-02-28" 2109.58 3107707 NA NA NA NA
"2003-03-31" "2003-03-31" 2135.98 3145033.1 NA NA NA NA
"2003-04-30" "2003-04-30" 2156.56 3178278.2 NA NA NA NA
"2003-05-31" "2003-05-31" 2178 3210886.8 NA NA NA NA
"2003-06-30" "2003-06-30" 2180.79 3232771.3 NA NA NA NA
"2003-07-31" "2003-07-31" 2181.97 3252666.8 NA NA NA NA
"2003-08-31" "2003-08-31" 2192.65 3273211.5 NA NA NA NA
"2003-09-30" "2003-09-30" 2215.06 3299462.4 NA NA NA NA
"2003-10-31" "2003-10-31" 2219.32 3314598.4 NA NA NA NA
"2003-11-30" "2003-11-30" 2222.12 3330599.2 NA NA NA NA
"2003-12-31" "2003-12-31" 2228.75 3347014.6 NA NA NA NA
"2004-01-31" "2004-01-31" 2239.2 3364474.2 NA NA NA NA
"2004-02-29" "2004-02-29" 2251.12 3383908.3 NA NA NA NA
"2004-03-31" "2004-03-31" 2261.51 3409035.4 NA NA NA NA
"2004-04-30" "2004-04-30" 2270.01 3427955.7 NA NA NA NA
"2004-05-31" "2004-05-31" 2288.67 3448040.6 NA NA NA NA
"2004-06-30" "2004-06-30" 2310.72 3471150.7 NA NA NA NA
"2004-07-31" "2004-07-31" 2330.76 3498527.3 NA NA NA NA
"2004-08-31" "2004-08-31" 2350.05 3522181.7 NA NA NA NA
"2004-09-30" "2004-09-30" 2362 3544550.2 NA NA NA NA
"2004-10-31" "2004-10-31" 2370.82 3565613.2 NA NA NA NA
"2004-11-30" "2004-11-30" 2383.4 3587136.5 NA NA NA NA
"2004-12-31" "2004-12-31" 2399.04 3606922.9 NA NA NA NA
"2005-01-31" "2005-01-31" 2407.41 3623827.2 NA NA NA NA
"2005-02-28" "2005-02-28" 2419.35 3645571.7 NA NA NA NA
"2005-03-31" "2005-03-31" 2433.26 3669586 NA NA NA NA
"2005-04-30" "2005-04-30" 2453.87 3701117.9 NA NA NA NA
"2005-05-31" "2005-05-31" 2471.46 3726097.9 NA NA NA NA
"2005-06-30" "2005-06-30" 2476.63 3743947.3 NA NA NA NA
"2005-07-31" "2005-07-31" 2483.63 3761907.6 NA NA NA NA
"2005-08-31" "2005-08-31" 2490.74 3781196.2 NA NA NA NA
"2005-09-30" "2005-09-30" 2502.56 3796166.2 NA NA NA NA
"2005-10-31" "2005-10-31" 2519.54 3816045.5 NA NA NA NA
"2005-11-30" "2005-11-30" 2531.3 3833633.4 NA NA NA NA
"2005-12-31" "2005-12-31" 2536.33 3844083.8 NA NA NA NA
"2006-01-31" "2006-01-31" 2546.93 3859829.2 NA NA NA NA
"2006-02-28" "2006-02-28" 2555.23 3872165.6 NA NA NA NA
"2006-03-31" "2006-03-31" 2564.65 3880662.2 NA NA NA NA
