date;ibov;petr4;abev3;di
02/01/2007;45383;25.16;3.78;13.16
03/01/2007;44445;24.4;3.76;13.16
04/01/2007;44020;23.85;3.76;13.16
05/01/2007;42245;23.13;3.69;13.17
08/01/2007;42830;23.4;3.75;13.18
09/01/2007;42007;22.68;3.72;13.18
10/01/2007;42336;22.63;3.72;13.15
11/01/2007;42670;22.59;3.76;13.12
12/01/2007;43095;22.61;3.84;13.13
15/01/2007;42919;22.45;3.87;13.14
16/01/2007;42624;22.15;3.86;13.12
17/01/2007;42735;22.03;3.9;13.12
18/01/2007;42478;21.67;3.86;13.13
19/01/2007;43428;22.67;3.84;13.11
22/01/2007;43553;22.64;3.9;13.12
23/01/2007;44177;23.35;3.9;13.12
24/01/2007;44687;23.55;3.94;13
26/01/2007;44412;23.25;3.91;12.84
29/01/2007;43573;23.05;3.81;12.85
30/01/2007;44044;22.66;3.86;12.87
31/01/2007;44642;23.43;3.89;12.91
01/02/2007;44815;23.37;3.9;12.92
02/02/2007;44998;23.62;3.9;12.91
05/02/2007;45286;23.49;3.89;12.92
06/02/2007;45352;23.13;3.9;12.9
07/02/2007;44588;22.46;3.89;12.89
08/02/2007;44892;22.8;3.87;12.89
09/02/2007;44284;22.4;3.88;12.88
12/02/2007;43935;22.13;3.9;12.88
13/02/2007;45197;22.53;3.93;12.89
14/02/2007;45996;22.58;3.97;12.89
15/02/2007;45955;22.15;4.05;12.88
16/02/2007;45849;22.17;4.15;12.89
21/02/2007;46090;22.15;4.04;12.91
22/02/2007;46452;22.55;4.12;12.87
23/02/2007;46016;22.72;4.1;12.87
26/02/2007;46207;22.81;4.08;12.87
27/02/2007;43145;22.81;3.93;12.86
28/02/2007;43892;21.44;3.92;12.9
01/03/2007;43517;21.19;4;12.9
02/03/2007;42370;20.58;3.98;12.9
05/03/2007;41179;20.08;3.96;12.9
06/03/2007;43218;20.93;4.11;12.89
07/03/2007;42667;20.63;4.11;12.87
08/03/2007;43466;21.17;4.11;12.64
09/03/2007;44133;21.18;4.16;12.66
12/03/2007;44249;20.95;4.16;12.65
13/03/2007;42749;20.58;4.12;12.62
14/03/2007;43288;20.68;4.14;12.63
15/03/2007;43278;20.45;4.14;12.63
16/03/2007;42730;20.2;4.09;12.65
19/03/2007;43713;20.56;4.1;12.65
20/03/2007;44351;20.95;4.14;12.64
21/03/2007;45631;21.67;4.2;12.65
22/03/2007;45424;22;4.18;12.63
23/03/2007;45533;22.13;4.19;12.61
26/03/2007;45645;22.33;4.2;12.6
27/03/2007;45207;22.21;4.2;12.6
28/03/2007;44484;22.1;4.19;12.61
