date;ibov;petr4;abev3;di
29/03/2007;45355;23.14;4.22;12.62
30/03/2007;45805;23.11;4.29;12.66
02/04/2007;45597;23.01;4.3;12.67
03/04/2007;46288;22.7;4.39;12.65
04/04/2007;46554;22.92;4.36;12.64
05/04/2007;46647;23.1;4.38;12.66
09/04/2007;46855;23.01;4.44;12.65
10/04/2007;47174;23.35;4.44;12.63
11/04/2007;46939;23.05;4.43;12.63
12/04/2007;47347;23.38;4.44;12.63
13/04/2007;47926;23.83;4.47;12.63
16/04/2007;48921;24.25;4.54;12.64
17/04/2007;48755;23.88;4.54;12.62
18/04/2007;48710;23.7;4.53;12.6
19/04/2007;48762;23.35;4.59;12.37
20/04/2007;49408;23.5;4.64;12.37
23/04/2007;49162;23.33;4.66;12.36
24/04/2007;49071;23.11;4.69;12.34
25/04/2007;49676;23.75;4.71;12.33
26/04/2007;49068;23.25;4.72;12.33
27/04/2007;49230;23.21;4.71;12.33
30/04/2007;48956;22.6;4.69;12.33
02/05/2007;49472;22.81;4.75;12.33
03/05/2007;50218;22.8;4.85;12.33
04/05/2007;50598;23.09;4.83;12.34
07/05/2007;50282;22.51;4.75;12.36
08/05/2007;50278;22.55;4.82;12.35
09/05/2007;51300;22.55;4.97;12.35
10/05/2007;50235;22.23;4.85;12.36
11/05/2007;50902;22.4;4.81;12.35
14/05/2007;50511;22.61;4.79;12.36
15/05/2007;50518;22.53;4.85;12.35
16/05/2007;51738;23.05;4.96;12.34
17/05/2007;51631;23.12;5.07;12.36
18/05/2007;52078;23.25;5.19;12.35
21/05/2007;52423;23.47;5.28;12.35
22/05/2007;52208;23.4;5.19;12.35
23/05/2007;51813;23.55;5.15;12.35
24/05/2007;50531;23.04;5.05;12.34
25/05/2007;51618;23.35;5.07;12.36
28/05/2007;52120;23.48;5.11;12.37
29/05/2007;51713;23.06;5.13;12.38
30/05/2007;52528;23.33;5.14;12.37
31/05/2007;52268;23.05;5.19;12.39
01/06/2007;53423;23.5;5.39;12.39
04/06/2007;53243;23.75;5.35;12.39
05/06/2007;53162;23.92;5.41;12.4
06/06/2007;52049;23.46;5.39;12.38
08/06/2007;52330;23.7;5.43;11.88
11/06/2007;52777;24;5.47;11.88
12/06/2007;51797;23.96;5.43;11.87
13/06/2007;52994;24.58;5.51;11.87
14/06/2007;53713;24.98;5.58;11.86
15/06/2007;54519;25.38;5.63;11.86
18/06/2007;54730;25.41;5.67;11.87
19/06/2007;54644;25.81;5.63;11.87
20/06/2007;54029;25.36;5.49;11.86
21/06/2007;54657;25.65;5.47;11.86
22/06/2007;54267;25.54;5.46;11.86
25/06/2007;54042;25.55;5.35;11.86
26/06/2007;53852;25.35;5.27;11.86
27/06/2007;54143;25.59;5.36;11.86
28/06/2007;54147;25.6;5.37;11.87
29/06/2007;54392;25.82;5.49;11.89
02/07/2007;55371;26.41;5.43;11.88
03/07/2007;55700;26.87;5.39;11.87
04/07/2007;55696;26.92;5.51;11.87
05/07/2007;55932;27.04;5.53;11.87
06/07/2007;56444;27.37;5.58;11.88
10/07/2007;55883;26.91;5.54;11.87
11/07/2007;56356;27.04;5.58;11.88
12/07/2007;57613;27.63;5.58;11.87
13/07/2007;57644;27.78;5.58;11.86
16/07/2007;57374;27.65;5.55;11.86
17/07/2007;57660;28.09;5.55;11.86
18/07/2007;57556;28.15;5.55;11.88
19/07/2007;58125;28.5;5.57;11.35
20/07/2007;57443;28.3;5.58;11.37
23/07/2007;58037;28.7;5.64;11.38
24/07/2007;55795;27.32;5.57;11.39
25/07/2007;56001;27.51;5.57;11.38
26/07/2007;53893;26.2;5.39;11.37
27/07/2007;52922;25.61;5.37;11.38
30/07/2007;54573;26.8;5.37;11.38
31/07/2007;54183;26.37;5.27;11.37
01/08/2007;54234;26.45;5.23;11.38
02/08/2007;54691;26.41;5.21;11.39
03/08/2007;52846;25.2;5.11;11.4
06/08/2007;53091;25.3;5.16;11.4
07/08/2007;53802;25.49;5.17;11.38
08/08/2007;55241;26.32;5.33;11.37
09/08/2007;53431;25.26;5.16;11.36
10/08/2007;52638;24.75;5.28;11.37
13/08/2007;52434;25;5.28;11.36
14/08/2007;50912;24.63;5.22;11.37
15/08/2007;49285;24.08;4.94;11.36
16/08/2007;48016;23.5;4.59;11.36
17/08/2007;48559;23.4;4.59;11.37
20/08/2007;49206;23.14;4.77;11.37
21/08/2007;49815;23;4.83;11.36
22/08/2007;51745;24.29;5.03;11.36
23/08/2007;51848;24.37;4.99;11.35
24/08/2007;52998;24.85;5.17;11.37
27/08/2007;53078;24.76;5.17;11.36
28/08/2007;51645;24.08;5.03;11.36
29/08/2007;52735;24.8;5.15;11.36
30/08/2007;52858;25.06;5.23;11.36
31/08/2007;54637;26.1;5.39;11.42
03/09/2007;54833;26.22;5.43;11.45
04/09/2007;55250;26.23;5.39;11.39
05/09/2007;54408;26.75;5.31;11.37
06/09/2007;54569;27.04;5.35;11.14
10/09/2007;52653;26.4;5.11;11.14
11/09/2007;53921;27.15;5.17;11.13
12/09/2007;53883;27.2;5.25;11.12
13/09/2007;54908;27.26;5.23;11.11
14/09/2007;54671;27.63;5.15;11.12
17/09/2007;54341;27.25;5.13;11.11
18/09/2007;56666;28.42;5.09;11.12
19/09/2007;57264;28.36;5.19;11.1
20/09/2007;56906;28.33;5.23;11.09
21/09/2007;57799;28.59;5.23;11.09
24/09/2007;58719;29.96;5.15;11.08
25/09/2007;58858;29.56;5.11;11.08
26/09/2007;59715;29.66;5.06;11.09
27/09/2007;61052;29.76;5.19;11.1
28/09/2007;60465;30.13;5.23;11.12
01/10/2007;62340;30.17;5.45;11.12
02/10/2007;62017;30.36;5.53;11.12
03/10/2007;60099;30.3;5.55;11.11
04/10/2007;60407;29.42;5.51;11.11
05/10/2007;62319;29.59;5.64;11.11
08/10/2007;62661;30.92;5.63;11.11
09/10/2007;63549;30.99;5.67;11.11
10/10/2007;63197;31.45;5.61;11.11
11/10/2007;62456;32.55;5.67;11.11
15/10/2007;62969;33.55;5.55;11.12
16/10/2007;61718;33.54;5.41;11.12
17/10/2007;63194;33.77;5.63;11.09
18/10/2007;63261;33.9;5.65;11.1
19/10/2007;60894;33.43;5.53;11.11
22/10/2007;61215;31.31;5.53;11.12
23/10/2007;62697;31.43;5.53;11.11
24/10/2007;62625;32.06;5.53;11.12
25/10/2007;62341;33.51;5.44;11.12
26/10/2007;64276;34.1;5.47;11.11
29/10/2007;65044;36.42;5.51;11.12
30/10/2007;64383;36.35;5.58;11.11
31/10/2007;65318;35.05;5.67;11.09
01/11/2007;64050;35.97;5.7;11.1
05/11/2007;62960;34.05;5.59;11.11
06/11/2007;64503;34.38;5.55;11.11
07/11/2007;63501;35.13;5.45;11.11
08/11/2007;63562;40.9;5.21;11.1
09/11/2007;64321;40.01;5.19;11.1
12/11/2007;61527;38.17;5.12;11.11
13/11/2007;62927;38.85;5.13;11.13
14/11/2007;64631;39.56;5.27;11.11
16/11/2007;64609;39.4;5.21;11.1
19/11/2007;62336;38.65;5.08;11.13
21/11/2007;60582;37.63;4.88;11.13
22/11/2007;60653;37.83;4.95;11.12
23/11/2007;60971;38.2;4.93;11.1
26/11/2007;59069;37.44;4.89;11.11
27/11/2007;59432;37;4.89;11.13
28/11/2007;61715;36.95;5.02;11.11
29/11/2007;62156;36.7;5.11;11.1
30/11/2007;63006;36.35;5.17;11.12
03/12/2007;63200;36.6;5.27;11.13
04/12/2007;63482;36.87;5.13;11.13
05/12/2007;64928;39.25;5.17;11.14
06/12/2007;65791;40.33;5.19;11.12
07/12/2007;65639;40.15;5.15;11.1
10/12/2007;65446;39.85;5.21;11.11
11/12/2007;64512;39.69;5.19;11.09
12/12/2007;64742;42.5;5.11;11.09
13/12/2007;62861;41.35;5.03;11.08
14/12/2007;62445;40.53;5.03;11.08
17/12/2007;59828;38.42;4.94;11.08
18/12/2007;61096;39.4;4.91;11.09
19/12/2007;61722;40.33;4.89;11.1
20/12/2007;61716;42.02;4.94;11.09
21/12/2007;63098;42.51;4.91;11.13
26/12/2007;64288;43.65;4.98;11.11
27/12/2007;63774;43.17;4.95;11.11
28/12/2007;63886;44.2;4.99;11.12
02/01/2008;62815;43.5;4.91;11.09
03/01/2008;62892;42.8;4.93;11.09
04/01/2008;61037;40.7;4.87;11.04
07/01/2008;60772;39.51;4.75;11.08
08/01/2008;62081;41.67;4.83;11.09
09/01/2008;62674;42.46;4.75;11.1
10/01/2008;63515;42.05;4.95;11.11
11/01/2008;61942;40.78;4.89;11.09
14/01/2008;62188;40.54;4.8;11.09
15/01/2008;59907;38.76;4.73;11.08
16/01/2008;58777;37.3;4.67;11.08
17/01/2008;57037;35.42;4.51;11.07
18/01/2008;57506;35.9;4.58;11.07
21/01/2008;53709;33.24;4.4;11.08
22/01/2008;56097;36.48;4.51;11.08
23/01/2008;54235;35.86;4.26;11.08
24/01/2008;57463;38.37;4.55;11.09
28/01/2008;58594;40.44;4.67;11.09
29/01/2008;59530;40.4;4.59;11.08
30/01/2008;60289;41.31;4.51;11.09
31/01/2008;59490;40.2;4.59;11.1
01/02/2008;61080;40.85;4.77;11.09
06/02/2008;58969;39.4;4.63;11.1
07/02/2008;58965;40.63;4.9;11.09
08/02/2008;59076;40.9;4.87;11.08
11/02/2008;60643;41.58;4.99;11.09
12/02/2008;61805;41.67;4.99;11.09
13/02/2008;62591;42.28;5.07;11.08
14/02/2008;61819;41.76;4.87;11.07
15/02/2008;61272;41.4;4.83;11.06
18/02/2008;62801;42.47;4.96;11.07
19/02/2008;62297;42.65;4.95;11.06
20/02/2008;63747;42.75;4.97;11.06
21/02/2008;63792;42.01;4.99;11.05
22/02/2008;64609;42.15;5.03;11.06
25/02/2008;65001;42.13;5.03;11.06
26/02/2008;65183;42.2;5.13;11.07
27/02/2008;65495;42.85;5.19;11.07
28/02/2008;65555;43.08;5.31;11.08
29/02/2008;63489;40.72;5.11;11.08
03/03/2008;64490;40.45;5.19;11.1
04/03/2008;63656;39.33;5.19;11.09
05/03/2008;64629;40.3;5.19;11.08
06/03/2008;62975;39.51;4.87;11.08
07/03/2008;61868;39.08;4.77;11.09
10/03/2008;59999;38.35;4.75;11.09
11/03/2008;62368;39.86;4.79;11.1
12/03/2008;62177;39.66;4.71;11.08
13/03/2008;62280;39.14;4.79;11.08
14/03/2008;61991;38.37;4.91;11.1
17/03/2008;60012;NA;4.81;11.09
18/03/2008;61933;37.47;4.78;11.09
19/03/2008;58827;34.7;4.63;11.1
20/03/2008;58987;34.7;4.67;11.11
24/03/2008;59813;35;4.81;11.1
25/03/2008;61234;36.85;4.83;11.1
26/03/2008;61415;37.45;4.81;11.09
27/03/2008;60762;36.56;4.64;11.09
28/03/2008;60452;36.31;4.63;11.09
31/03/2008;60968;36.99;4.65;11.15
01/04/2008;62775;37.88;4.77;11.14
02/04/2008;63364;38.88;4.73;11.1
03/04/2008;64175;39.35;4.79;11.15
04/04/2008;64446;39.5;4.75;11.13
07/04/2008;64176;39.25;4.66;11.15
08/04/2008;64540;39.99;4.67;11.11
09/04/2008;63477;40.02;4.62;11.1
10/04/2008;63527;40.17;4.7;11.11
11/04/2008;62585;39.28;4.53;11.11
14/04/2008;62153;41.49;4.53;11.11
15/04/2008;62618;41.97;4.47;11.12
16/04/2008;64152;41.7;4.57;11.12
17/04/2008;64552;42.55;4.44;11.62
18/04/2008;64923;42.65;4.49;11.62
22/04/2008;65413;43.1;4.34;11.61
23/04/2008;64948;42.51;4.32;11.58
24/04/2008;64576;41.6;4.35;11.58
25/04/2008;65187;42.15;4.44;11.59
28/04/2008;65678;42.59;4.44;11.58
29/04/2008;63826;40.9;4.27;11.57
30/04/2008;67868;42.2;4.44;11.57
02/05/2008;69366;43;4.55;11.58
05/05/2008;70175;43.85;4.63;11.56
06/05/2008;70195;45;4.53;11.56
07/05/2008;69018;44.85;4.53;11.55
08/05/2008;69722;45;4.47;11.55
09/05/2008;69646;45.67;4.35;11.56
12/05/2008;70416;45.75;4.46;11.56
13/05/2008;70503;45.75;4.5;11.56
14/05/2008;70027;46.3;4.49;11.54
15/05/2008;71492;47.11;4.55;11.54
16/05/2008;72767;48.15;4.51;11.54
19/05/2008;73439;50;4.47;11.53
20/05/2008;73517;51.66;4.47;11.55
21/05/2008;72295;52.51;4.4;11.55
23/05/2008;71452;50.56;4.44;11.54
26/05/2008;71629;51.57;4.47;11.55
27/05/2008;70992;49.9;4.39;11.55
28/05/2008;73153;50.99;4.3;11.54
29/05/2008;71798;50.99;4.22;11.53
30/05/2008;72593;49;4.19;11.55
02/06/2008;71897;49;4.12;11.56
03/06/2008;70012;49.79;4.06;11.54
04/06/2008;68673;47.45;4.04;11.53
05/06/2008;71235;45.28;4.06;12.03
06/06/2008;69786;47.56;4.08;12.03
09/06/2008;69281;47.48;4.06;12.04
10/06/2008;67775;46;4.03;12.06
11/06/2008;66795;45.4;4.01;12.07
12/06/2008;67322;45.18;4.24;12.08
13/06/2008;67204;45.9;4.16;12.07
16/06/2008;67285;45.8;4.18;12.07
17/06/2008;68438;46.25;4.09;12.08
18/06/2008;67090;45.4;4;12.06
19/06/2008;66590;43.9;4.04;12.06
20/06/2008;64614;43.13;4;12.06
23/06/2008;64640;43.89;3.96;12.09
24/06/2008;64168;43.77;3.95;12.08
25/06/2008;65853;44.95;3.92;12.08
26/06/2008;63947;44.9;3.87;12.07
27/06/2008;64321;45.3;3.8;12.07
30/06/2008;65018;46.21;3.85;12.09
01/07/2008;63396;46.09;3.72;12.18
02/07/2008;61106;43.98;3.6;12.13
03/07/2008;59273;42.55;3.5;12.1
04/07/2008;59365;43.2;3.46;12.12
07/07/2008;59088;41.93;3.45;12.11
08/07/2008;59536;40.61;3.46;12.13
10/07/2008;60253;40.05;3.44;12.12
11/07/2008;60148;40.6;3.46;12.11
14/07/2008;60721;40.88;3.55;12.09
15/07/2008;61015;40.55;3.52;12.08
16/07/2008;62056;39.77;3.47;12.1
17/07/2008;60109;37.8;3.32;12.09
18/07/2008;59988;38.2;3.25;12.09
21/07/2008;60772;38.76;3.28;12.1
22/07/2008;59647;37.43;3.22;12.08
23/07/2008;59421;36.1;3.28;12.07
24/07/2008;57434;34.5;3.24;12.84
25/07/2008;57199;34.5;3.21;12.84
28/07/2008;56869;34.85;3.17;12.83
29/07/2008;58043;34.8;3.24;12.83
30/07/2008;59998;36.5;3.32;12.84
31/07/2008;59505;35.9;3.32;12.85
01/08/2008;57630;34.51;3.3;12.88
04/08/2008;55609;32.89;3.3;12.86
05/08/2008;56471;32.2;3.47;12.87
06/08/2008;57542;33.3;3.55;12.87
07/08/2008;57018;33.86;3.55;12.87
08/08/2008;56584;33.55;3.56;12.86
11/08/2008;54720;32.7;3.53;12.84
12/08/2008;54503;33.07;3.48;12.84
13/08/2008;54573;33.75;3.46;12.85
14/08/2008;55138;33.44;3.48;12.85
15/08/2008;54244;32.67;3.49;12.85
18/08/2008;53327;31.68;3.44;12.88
19/08/2008;53639;32.63;3.43;12.87
20/08/2008;55377;34.21;3.46;12.86
21/08/2008;55935;35.39;3.47;12.86
22/08/2008;55850;35.29;3.52;12.84
25/08/2008;54477;33.81;3.49;12.85
26/08/2008;54359;34.19;3.44;12.84
27/08/2008;55519;35.2;3.43;12.84
28/08/2008;56382;35.35;3.52;12.84
29/08/2008;55680;34.9;3.52;12.82
01/09/2008;55162;34.21;3.51;12.84
02/09/2008;54404;33.11;3.49;12.83
03/09/2008;53527;32.6;3.51;12.87
04/09/2008;51409;31.45;3.43;12.84
05/09/2008;51940;31.86;3.47;12.81
08/09/2008;50718;30.26;3.5;12.89
09/09/2008;48435;28.35;3.52;12.86
10/09/2008;49633;28.68;3.64;12.88
11/09/2008;51270;31.4;3.72;13.63
12/09/2008;52393;33;3.7;13.59
15/09/2008;48416;29.8;3.68;13.59
16/09/2008;49229;31.3;3.54;13.6
17/09/2008;45909;29.8;3.49;13.58
18/09/2008;48423;32.2;3.56;13.58
19/09/2008;53055;34.98;3.76;13.65
22/09/2008;51541;34.9;3.68;13.68
23/09/2008;49593;33.25;3.62;13.62
24/09/2008;49843;34.49;3.6;13.59
25/09/2008;51828;36.05;3.64;13.6
26/09/2008;50783;35.43;3.64;13.6
29/09/2008;46028;32.75;3.42;13.58
30/09/2008;49541;35.1;3.67;13.59
01/10/2008;49799;34.9;3.64;13.58
02/10/2008;46145;32.05;3.52;13.61
03/10/2008;44517;31;3.48;13.65
06/10/2008;42101;30;3.52;13.75
07/10/2008;40140;28.3;3.53;13.7
08/10/2008;38594;26.7;3.34;13.67
09/10/2008;37080;25.88;3.2;13.65
10/10/2008;35610;24;3.2;13.66
13/10/2008;40829;26.9;3.28;13.71
14/10/2008;41569;27.3;3.4;13.64
15/10/2008;36833;24;3.16;13.68
16/10/2008;36442;22.2;3.2;13.66
17/10/2008;36399;22.99;3.43;13.64
20/10/2008;39441;25.39;3.56;13.67
21/10/2008;39043;25;3.58;13.62
22/10/2008;35070;23.2;3.11;13.55
23/10/2008;33818;22.7;3.12;13.6
24/10/2008;31482;20.4;3.03;13.63
27/10/2008;29435;18.11;2.88;13.63
28/10/2008;33387;20.05;3.18;13.64
29/10/2008;34845;21.4;3.14;13.62
30/10/2008;37449;22.85;3.11;13.57
31/10/2008;37257;23.31;3.19;13.59
03/11/2008;38249;23.14;3.16;13.58
04/11/2008;40255;25.1;3.14;13.56
05/11/2008;37786;24.25;3.15;13.56
06/11/2008;36362;22.9;3.28;13.5
07/11/2008;36665;23.26;3.44;13.49
10/11/2008;36776;23.95;3.42;13.5
11/11/2008;37262;23.91;3.37;13.46
12/11/2008;34374;20.62;3.22;13.4
13/11/2008;35993;21.1;3.6;13.24
14/11/2008;35789;20.76;3.46;13.25
17/11/2008;35717;20.45;3.44;13.28
18/11/2008;34095;19.25;3.43;13.25
19/11/2008;33405;18.5;3.27;12.92
21/11/2008;31251;16.89;3.4;13.08
24/11/2008;34189;19.23;3.36;13.16
25/11/2008;34813;19.36;3.22;13.14
26/11/2008;36470;20.52;3.14;13.15
27/11/2008;36213;19.95;3.2;13.22
28/11/2008;36596;20.06;3.23;13.36
01/12/2008;34741;18.4;3.12;13.47
02/12/2008;35001;18.3;3.16;13.48
03/12/2008;35297;19.31;3.24;13.46
04/12/2008;35128;18.6;3.19;13.47
05/12/2008;35347;18.16;3.13;13.46
08/12/2008;38285;20.21;3.3;13.46
09/12/2008;37968;20.11;3.28;13.47
10/12/2008;39004;21.94;3.38;13.46
11/12/2008;38519;22.33;3.42;13.46
12/12/2008;39374;22.6;3.52;13.45
15/12/2008;38320;22.9;3.43;13.46
16/12/2008;39993;23.8;3.6;13.46
17/12/2008;39947;24.35;3.48;13.48
18/12/2008;39536;23.5;3.54;13.5
19/12/2008;39131;23.35;3.43;13.46
22/12/2008;37619;22.14;3.41;13.51
23/12/2008;36471;22;3.32;13.47
26/12/2008;36864;22.8;3.25;13.51
29/12/2008;37060;22.52;3.28;13.59
30/12/2008;37550;22.84;3.39;13.61
02/01/2009;40244;24.54;3.56;13.62
05/01/2009;41519;25.1;3.44;13.59
06/01/2009;42312;25.45;3.39;13.6
07/01/2009;40820;24.45;3.38;13.61
08/01/2009;41991;25.5;3.41;13.6
09/01/2009;41583;25.4;3.41;13.61
12/01/2009;39403;23.75;3.36;13.6
13/01/2009;39544;23.95;3.4;13.6
14/01/2009;37982;23.3;3.36;13.6
15/01/2009;39151;24.1;3.4;13.62
16/01/2009;39342;24.28;3.3;13.61
19/01/2009;38828;23.83;3.24;13.38
20/01/2009;37272;23.06;3.16;13.45
21/01/2009;38543;24.26;3.19;13.61
22/01/2009;37894;23.64;3.21;12.61
23/01/2009;38132;23.59;3.2;12.61
26/01/2009;38509;23.8;3.16;12.62
27/01/2009;38699;23.9;3.16;12.62
28/01/2009;40227;25.2;3.17;12.62
29/01/2009;39638;25.03;3.16;12.62
30/01/2009;39301;25.03;3.22;12.61
02/02/2009;38666;24.69;3.17;12.63
03/02/2009;39747;25.58;3.31;12.62
04/02/2009;40129;25.7;3.31;12.63
05/02/2009;41109;26;3.32;12.63
06/02/2009;42756;27.1;3.4;12.63
09/02/2009;42100;27.39;3.36;12.62
10/02/2009;41207;27.05;3.39;12.63
11/02/2009;40846;26.9;3.43;12.62
12/02/2009;40501;26.79;3.43;12.63
13/02/2009;41674;27.6;3.4;12.62
16/02/2009;41841;27.92;3.41;12.63
17/02/2009;39847;26.4;3.27;12.62
18/02/2009;39674;25.89;3.4;12.62
19/02/2009;39730;26.3;3.38;12.62
20/02/2009;38715;25.78;3.39;12.62
25/02/2009;38232;26.25;3.4;12.62
26/02/2009;38180;26.52;3.38;12.62
27/02/2009;38183;26.4;3.36;12.6
02/03/2009;36235;25.02;3.06;12.61
03/03/2009;36468;24.8;3.03;12.62
04/03/2009;38402;26.37;3.09;12.62
05/03/2009;37369;26;3.2;12.62
06/03/2009;37105;25.67;3.24;12.62
09/03/2009;36741;25.7;3.24;12.62
10/03/2009;38795;27.07;3.33;12.62
11/03/2009;38805;27.21;3.34;12.6
12/03/2009;39152;27.55;3.35;11.12
13/03/2009;39015;27.7;3.44;11.12
16/03/2009;38607;27.19;3.36;11.05
17/03/2009;39511;27.98;3.37;11.02
18/03/2009;40142;28.3;3.45;11.11
19/03/2009;40453;29.25;3.46;11.13
20/03/2009;40076;29.1;3.46;11.13
23/03/2009;42439;30.86;3.62;11.13
24/03/2009;41476;30.35;3.55;11.12
25/03/2009;41799;30.43;3.56;11.12
26/03/2009;42589;30.37;3.59;11.12
27/03/2009;41907;29.6;3.67;11.1
30/03/2009;40653;28.78;3.57;11.03
31/03/2009;40926;28.55;3.71;11.08
01/04/2009;41976;29.4;3.74;11.13
02/04/2009;43736;30.5;3.79;11.13
03/04/2009;44391;30.4;3.8;11.13
06/04/2009;44167;30.29;3.91;11.13
07/04/2009;43825;29.97;3.79;11.13
08/04/2009;44182;29.88;3.61;11.13
09/04/2009;45539;30.84;3.78;11.13
13/04/2009;45992;30.79;3.82;11.03
14/04/2009;45418;30.5;3.8;11.02
15/04/2009;45273;29.98;3.79;11.13
16/04/2009;46025;30;3.82;11.13
17/04/2009;45778;29.52;3.85;11.06
20/04/2009;44433;28.8;3.76;11.07
22/04/2009;44888;28.61;3.86;11.12
23/04/2009;45801;29.27;3.9;11.13
24/04/2009;46772;29.31;3.9;11.13
27/04/2009;45820;28.69;3.84;11.13
28/04/2009;45821;28.83;3.92;11.12
29/04/2009;47227;29.74;3.95;10.99
30/04/2009;47290;29.54;3.95;10.12
04/05/2009;50405;31.63;4.06;10.13
05/05/2009;50670;32.08;4.04;10.13
06/05/2009;51499;32.55;4;10.13
07/05/2009;50058;31.98;4.06;10.13
08/05/2009;51396;33;4.16;10.12
11/05/2009;50976;32.87;4.09;10.12
12/05/2009;50326;32.35;4;10.12
13/05/2009;48679;31.48;3.96;10.12
14/05/2009;49446;31.74;3.96;10.12
15/05/2009;49007;31.3;3.97;10.13
18/05/2009;51463;32.71;4.1;10.13
19/05/2009;51347;32.72;4.14;10.13
20/05/2009;51245;33.15;4.22;10.13
21/05/2009;50087;32.5;4.24;10.02
22/05/2009;50568;32.87;4.24;9.99
25/05/2009;50816;32.95;4.22;9.98
26/05/2009;51841;33.74;4.27;10.12
27/05/2009;51792;33.74;4.31;10.12
28/05/2009;53041;34.65;4.36;10.1
29/05/2009;53198;34.45;4.32;10.01
01/06/2009;54486;35.24;4.41;10
02/06/2009;54000;34.55;4.32;10.1
03/06/2009;52087;33.15;4.26;10.05
04/06/2009;53464;34.09;4.26;10.09
05/06/2009;53341;33.98;4.27;10.1
08/06/2009;53630;33.88;4.23;10.01
09/06/2009;53157;33.51;4.19;9.9
10/06/2009;53411;33.88;4.24;9.94
12/06/2009;53558;33.95;4.28;9.11
15/06/2009;52034;33.3;4.19;9.01
16/06/2009;51206;32.55;4.15;8.99
17/06/2009;51046;32.05;4.23;8.99
18/06/2009;50903;31.76;4.26;9
19/06/2009;51374;31.95;4.28;9.01
22/06/2009;49495;30.86;4.12;8.98
23/06/2009;49814;31.4;4.14;8.98
24/06/2009;49672;31;4.16;8.97
25/06/2009;51515;32.25;4.28;8.99
26/06/2009;51486;32.25;4.28;9.12
29/06/2009;52138;33.05;4.17;9.11
30/06/2009;51465;32.45;4.23;8.96
01/07/2009;51544;31.8;4.2;9.08
02/07/2009;51025;31.24;4.21;9.1
03/07/2009;50935;31.01;4.24;9.11
06/07/2009;50622;30.04;4.3;9.12
07/07/2009;49457;29.35;4.27;9.12
08/07/2009;49178;29.11;4.28;9.02
09/07/2009;NA;NA;4.28;9.01
10/07/2009;49221;29.67;4.28;9.13
13/07/2009;49187;29.79;4.3;9.12
14/07/2009;48873;29.59;4.24;9
15/07/2009;51297;30.76;4.39;8.96
16/07/2009;51918;30.95;4.39;9.13
17/07/2009;52072;31.5;4.4;9.13
20/07/2009;53155;31.9;4.47;9.13
21/07/2009;53234;31.82;4.41;9.12
22/07/2009;53073;31.69;4.29;9
23/07/2009;54249;32.4;4.44;8.62
24/07/2009;54457;32.5;4.35;8.62
27/07/2009;54549;32.45;4.31;8.62
28/07/2009;54472;31.75;4.26;8.51
29/07/2009;53735;30.9;4.26;8.62
30/07/2009;54478;31.22;4.31;8.61
