date,number of interactions,number of interactions avg7
2018-12-02,9,20.142857142857142
2018-12-03,11,20.857142857142858
2018-12-04,41,23.428571428571427
2018-12-05,18,24.285714285714285
2018-12-06,13,19.0
2018-12-07,17,20.0
2018-12-08,2,15.857142857142858
2019-09-20,8,15.714285714285714
2019-09-21,1,14.285714285714286
2019-09-22,7,9.428571428571429
2019-09-23,11,8.428571428571429
2019-09-24,22,9.714285714285714
2019-09-25,16,9.571428571428571
2019-09-26,25,12.857142857142858
2019-09-27,19,14.428571428571429
2019-09-28,1,14.428571428571429
2019-09-29,7,14.428571428571429
2019-09-30,5,13.571428571428571
2019-10-01,26,14.142857142857142
2019-10-02,65,21.142857142857142
2019-10-03,6,18.428571428571427
2019-10-04,6,16.571428571428573
2019-10-05,2,16.714285714285715
2019-10-06,7,16.714285714285715
2019-10-07,13,17.857142857142858
2019-10-08,18,16.714285714285715
2019-10-09,12,9.142857142857142
2019-10-10,17,10.714285714285714
2019-10-11,25,13.428571428571429
2019-10-13,3,13.571428571428571
2019-10-14,4,13.142857142857142
2019-10-15,26,15.0
2019-10-16,9,13.714285714285714
2019-10-17,114,28.285714285714285
2019-10-18,25,29.428571428571427
2019-10-19,15,28.0
2019-10-20,4,28.142857142857142
2019-10-21,5,28.285714285714285
2019-10-22,42,30.571428571428573
2019-10-23,12,31.0
2019-10-24,24,18.142857142857142
2019-10-25,15,16.714285714285715
2019-10-26,3,15.0
2019-10-27,26,18.142857142857142
2019-10-28,25,21.0
2019-10-29,35,20.0
2019-10-30,22,21.428571428571427
2019-10-31,9,19.285714285714285
2019-11-01,21,20.142857142857142
2019-11-03,14,21.714285714285715
2019-11-04,7,19.0
2019-11-05,7,16.428571428571427
2019-11-06,14,13.428571428571429
2019-11-07,21,13.285714285714286
2019-11-08,18,14.571428571428571
2019-11-09,31,16.0
2019-11-10,51,21.285714285714285
2019-11-11,7,21.285714285714285
2019-11-12,57,28.428571428571427
2019-11-13,35,31.428571428571427
2019-11-14,11,30.0
2019-11-15,8,28.571428571428573
2019-11-16,6,25.0
2019-11-17,1,17.857142857142858
2019-11-18,9,18.142857142857142
2019-11-19,19,12.714285714285714
2019-11-20,41,13.571428571428571
2019-11-21,18,14.571428571428571
2019-11-22,34,18.285714285714285
2019-11-23,1,17.571428571428573
2019-11-24,1,17.571428571428573
2019-11-25,14,18.285714285714285
2019-11-26,57,23.714285714285715
2019-11-27,37,23.142857142857142
2019-11-28,16,22.857142857142858
2019-11-29,6,18.857142857142858
2019-11-30,4,19.285714285714285
2019-12-01,2,19.428571428571427
2019-12-02,29,21.571428571428573
2019-12-03,24,16.857142857142858
2019-12-04,16,13.857142857142858
2019-12-05,19,14.285714285714286
2019-12-06,12,15.142857142857142
2019-12-07,2,14.857142857142858
2019-12-08,12,16.285714285714285
2019-12-09,7,13.142857142857142
2019-12-10,10,11.142857142857142
2019-12-11,9,10.142857142857142
2019-12-12,25,11.0
2019-12-13,18,11.857142857142858
2019-12-14,3,12.0
2019-12-15,11,11.857142857142858
2019-12-16,7,11.857142857142858
2019-12-17,3,10.857142857142858
2019-12-18,10,11.0
2019-12-19,24,10.857142857142858
2019-12-20,12,10.0
2019-12-23,3,10.0
2019-12-24,12,10.142857142857142
2019-12-25,1,9.285714285714286
2019-12-27,4,9.428571428571429
2019-12-29,3,8.428571428571429
2019-12-30,4,5.571428571428571
2019-12-31,1,4.0
2020-01-02,6,4.428571428571429
2020-01-03,15,4.857142857142857
2020-01-04,2,5.0
2020-01-05,4,5.0
2020-01-06,3,5.0
2020-01-07,20,7.285714285714286
2020-01-08,18,9.714285714285714
2020-01-09,8,10.0
2020-01-10,6,8.714285714285714
2020-01-11,1,8.571428571428571
2020-01-12,1,8.142857142857142
2020-01-13,10,9.142857142857142
2020-01-14,28,10.285714285714286
2020-01-15,14,9.714285714285714
2020-01-16,13,10.428571428571429
2020-01-17,7,10.571428571428571
2020-01-18,3,10.857142857142858
2020-01-20,9,12.0
2020-01-21,8,11.714285714285714
2020-01-22,22,10.857142857142858
2020-01-23,31,13.285714285714286
2020-01-24,48,18.285714285714285
2020-01-25,5,18.0
2020-01-26,11,19.142857142857142
2020-01-27,23,21.142857142857142
2020-01-28,61,28.714285714285715
2020-01-29,42,31.571428571428573
2020-01-30,42,33.142857142857146
2020-01-31,8,27.428571428571427
2020-02-01,2,27.0
2020-02-02,51,32.714285714285715
2020-02-03,11,31.0
2020-02-04,28,26.285714285714285
2020-02-05,25,23.857142857142858
2020-02-06,23,21.142857142857142
2020-02-07,19,22.714285714285715
2020-02-08,4,23.0
2020-02-09,12,17.428571428571427
2020-02-10,14,17.857142857142858
2020-02-11,57,22.0
2020-02-12,89,31.142857142857142
2020-02-13,55,35.714285714285715
2020-02-14,47,39.714285714285715
2020-02-15,15,41.285714285714285
2020-02-16,10,41.0
2020-02-17,6,39.857142857142854
2020-02-18,45,38.142857142857146
2020-02-19,26,29.142857142857142
2020-02-20,62,30.142857142857142
2020-02-21,40,29.142857142857142
2020-02-22,7,28.0
2020-02-23,22,29.714285714285715
2020-02-24,30,33.142857142857146
2020-02-25,57,34.857142857142854
2020-02-26,36,36.285714285714285
2020-02-27,35,32.42857142857143
2020-02-28,72,37.0
2020-02-29,17,38.42857142857143
2020-03-01,68,45.0
2020-03-02,28,44.714285714285715
2020-03-03,104,51.42857142857143
2020-03-04,88,58.857142857142854
2020-03-05,54,61.57142857142857
2020-03-06,73,61.714285714285715
2020-03-07,37,64.57142857142857
2020-03-08,66,64.28571428571429
2020-03-09,71,70.42857142857143
2020-03-10,94,69.0
2020-03-11,170,80.71428571428571
2020-03-12,104,87.85714285714286
2020-03-13,86,89.71428571428571
2020-03-14,5,85.14285714285714
2020-03-15,261,113.0
2020-03-16,132,121.71428571428571
2020-03-17,184,134.57142857142858
2020-03-18,212,140.57142857142858
2020-03-19,172,150.28571428571428
2020-03-20,141,158.14285714285714
2020-03-21,87,169.85714285714286
2020-03-22,187,159.28571428571428
2020-03-23,120,157.57142857142858
2020-03-24,149,152.57142857142858
2020-03-25,117,139.0
2020-03-26,169,138.57142857142858
2020-03-27,143,138.85714285714286
2020-03-28,41,132.28571428571428
2020-03-29,86,117.85714285714286
2020-03-30,138,120.42857142857143
2020-03-31,166,122.85714285714286
2020-04-01,114,122.42857142857143
2020-04-02,94,111.71428571428571
2020-04-03,94,104.71428571428571
2020-04-04,52,106.28571428571429
2020-04-05,36,99.14285714285714
2020-04-06,79,90.71428571428571
2020-04-07,61,75.71428571428571
2020-04-08,67,69.0
2020-04-09,116,72.14285714285714
2020-04-10,46,65.28571428571429
2020-04-11,70,67.85714285714286
2020-04-12,32,67.28571428571429
2020-04-13,58,64.28571428571429
2020-04-14,103,70.28571428571429
2020-04-15,147,81.71428571428571
2020-04-16,215,95.85714285714286
2020-04-17,77,100.28571428571429
2020-04-18,50,97.42857142857143
2020-04-19,33,97.57142857142857
2020-04-20,201,118.0
2020-04-21,83,115.14285714285714
2020-04-22,111,110.0
2020-04-23,133,98.28571428571429
2020-04-24,464,153.57142857142858
2020-04-25,67,156.0
2020-04-26,49,158.28571428571428
2020-04-27,176,154.71428571428572
2020-04-28,63,151.85714285714286
2020-04-29,70,146.0
2020-04-30,81,138.57142857142858
2020-05-01,33,77.0
2020-05-02,69,77.28571428571429
2020-05-03,33,75.0
2020-05-04,112,65.85714285714286
2020-05-05,95,70.42857142857143
2020-05-06,118,77.28571428571429
2020-05-07,132,84.57142857142857
2020-05-08,52,87.28571428571429
2020-05-09,21,80.42857142857143
2020-05-10,26,79.42857142857143
2020-05-11,80,74.85714285714286
2020-05-12,91,74.28571428571429
2020-05-13,77,68.42857142857143
2020-05-14,149,70.85714285714286
2020-05-15,72,73.71428571428571
2020-05-16,2,71.0
2020-05-17,44,73.57142857142857
2020-05-18,111,78.0
2020-05-19,73,75.42857142857143
2020-05-20,121,81.71428571428571
2020-05-21,141,80.57142857142857
2020-05-22,167,94.14285714285714
2020-05-23,8,95.0
2020-05-24,39,94.28571428571429
2020-05-25,70,88.42857142857143
2020-05-26,97,91.85714285714286
2020-05-27,74,85.14285714285714
2020-05-28,67,74.57142857142857
2020-05-29,40,56.42857142857143
2020-05-30,11,56.857142857142854
2020-05-31,15,53.42857142857143
2020-06-01,40,49.142857142857146
2020-06-02,65,44.57142857142857
2020-06-03,125,51.857142857142854
2020-06-04,70,52.285714285714285
2020-06-05,135,65.85714285714286
2020-06-06,8,65.42857142857143
2020-06-07,30,67.57142857142857
2020-06-08,67,71.42857142857143
2020-06-09,53,69.71428571428571
2020-06-10,73,62.285714285714285
2020-06-11,88,64.85714285714286
2020-06-12,36,50.714285714285715
2020-06-13,18,52.142857142857146
2020-06-14,41,53.714285714285715
2020-06-15,78,55.285714285714285
2020-06-16,101,62.142857142857146
2020-06-17,84,63.714285714285715
2020-06-18,53,58.714285714285715
2020-06-19,31,58.0
2020-06-20,5,56.142857142857146
2020-06-21,31,54.714285714285715
2020-06-22,52,51.0
2020-06-23,89,49.285714285714285
2020-06-24,104,52.142857142857146
2020-06-25,100,58.857142857142854
2020-06-26,60,63.0
2020-06-27,11,63.857142857142854
2020-06-28,19,62.142857142857146
2020-06-29,60,63.285714285714285
2020-06-30,83,62.42857142857143
2020-07-01,39,53.142857142857146
2020-07-02,49,45.857142857142854
2020-07-03,60,45.857142857142854
2020-07-04,24,47.714285714285715
2020-07-05,49,52.0
2020-07-06,69,53.285714285714285
2020-07-07,54,49.142857142857146
2020-07-08,93,56.857142857142854
2020-07-09,56,57.857142857142854
2020-07-10,70,59.285714285714285
2020-07-11,6,56.714285714285715
2020-07-12,21,52.714285714285715
2020-07-13,39,48.42857142857143
2020-07-14,47,47.42857142857143
2020-07-15,83,46.0
2020-07-16,128,56.285714285714285
2020-07-17,39,51.857142857142854
2020-07-18,14,53.0
2020-07-19,30,54.285714285714285
2020-07-20,54,56.42857142857143
2020-07-21,133,68.71428571428571
2020-07-22,75,67.57142857142857
2020-07-23,58,57.57142857142857
2020-07-24,63,61.0
2020-07-25,5,59.714285714285715
2020-07-26,28,59.42857142857143
2020-07-27,60,60.285714285714285
2020-07-28,43,47.42857142857143
2020-07-29,77,47.714285714285715
2020-07-30,52,46.857142857142854
2020-07-31,84,49.857142857142854
2020-08-01,4,49.714285714285715
2020-08-02,31,50.142857142857146
2020-08-03,31,46.0
2020-08-04,77,50.857142857142854
2020-08-05,53,47.42857142857143
2020-08-06,41,45.857142857142854
2020-08-07,64,43.0
2020-08-08,21,45.42857142857143
2020-08-09,18,43.57142857142857
2020-08-10,45,45.57142857142857
2020-08-11,93,47.857142857142854
2020-08-12,144,60.857142857142854
